ID,Branch,Experiment,Environment,Population / geometry,Screen N,Validation N,Holdout N,Protected holdout opened?,Canonical result,Candidate/base ratio,Wins,Worst ratio,Compute status,Status,Closure confidence,Potential upside,Next action,Source,
A19,Shipping,Adaptive 2–6 suffix compiler calibrated proxy,Local full repository,"Width256, 60 fresh networks across 3 families",20,40,0,No,Historical proxy: raw candidate/base1.00170 and calibrated adjusted0.97865. A39 production measurement shows the calibrated relative ratio is not portable to the current partial-tree baseline.,1.0017,59/60 calibrated,1.00222,Calibrated against obsolete assembly-free baseline; not current-package cost,Superseded by A39 production measurement,High that proxy is nonportable,None unless final adaptive production run passes,Do not use calibrated ratio for shipping decisions.,NONK3_CONTINUATION_REPORT / A39 production measurement,
A29/A31,Shipping,Fixed three-layer compiler specification,Local full repository,Width256 strict 50-network proxy holdout plus 97 official Mini production runs,0,50,0,No,"Historical fixed3 proxy0.979672 with c8/rare8 and alpha0.875; actual current-package measurement A39 was candidate/base1.042129 on97 completed Mini networks,8/97,worst1.152,183.02B vs175.62B baseline.",1.042129,8/97,1.152,Measured current-package compute183.02B,Rejected in production baseline,High,None for current implementation,Preserve partial-tree baseline; no further fixed3 tuning.,A29/A31 historical reports / A39 production measurement,
V73,Layer31,Full layer31 mean correction oracle,Local cross-fitted oracle,"Width256;8 screen,24 validation,64 holdout",8,24,64,"Yes, oracle mechanism",Holdout candidate/base0.2187;64/64;78.13% noise-corrected MSE removed,0.2187,64/64,0.865,One final replay; idealized total180.984B,Oracle mechanism only,High mechanism / zero deployment,Winning-scale,Legal signed low-dimensional center estimator,AGENT1_FINAL_REPORT / V73,
ARCI-4,Layer31,Sparse coordinate oracle grid,Sandbox target-aware oracle,"Width256,N=8",8,0,0,No,K4/8/12/16/32 gains1.2991/1.5612/1.7844/2.0597/2.9565; K32 captures81.39%,0.3382,8/8,0.4351,True support and corrections,Oracle mechanism,Low-moderate,Winning-scale,Freeze target-free selector on new networks,ARC activation continuation,
M94,Sparse/cubic,Oracle-state rank4 c21 control,Local full-width oracle,N=16,16,0,0,Oracle state,"Candidate/base0.5993,16/16,worst0.9835; sample-direction oracle0.5832",0.5993,16/16,0.9835,Oracle anchor,Oracle mechanism / leading,Moderate-high for features,40% raw,Independent scalar/center anchor,arc_code audit / connected-cubic JSONs,
M85,Sparse/cubic,"Factorized connected-K3,70% shrink",Local full-width,8 selection+8 frozen holdout,8,0,8,Yes,"Candidate/base0.8814,6/8,worst1.4277; unshrunk0.9588,worst1.8312",0.8814,6/8,1.4277,"Full tensor~272B, score-negative",Mechanism validated / deployment rejected,Moderate,10–20% raw,"Use contracted adjoint, independent center/source, tail shrinkage",M85 JSONs / arc_code audit,
M87,Sparse/cubic,128 sparse probes exact anchor,Development log,N=8; frozen assets missing,8,0,0,No,Reported candidate/base0.190 on all8; no untouched validation,0.19,8/8,Unknown,Oracle anchors; cost not established,Leading unvalidated ceiling,Low,Winning-scale,Freeze and validate exact construction on new block,Sparse agent log,
M88,Sparse/cubic,Shared center algebra,Analytic+toy/proxy,No real frozen probe spectrum,0,0,0,No,"e=Bδ+Q(δ²); toy rank90=6/rank99=9, but width256 proxy terminal span rank128",,N/A,N/A,Algebra only,Infrastructure / active,High shared-map / low rank confidence,Enabler,Measure real B spectrum and layer31 overlap,sparse center report / terminal test JSON,
M95,Adjoint,Factorized K3 checkpoint handoff,Local implementation,Frozen160–167 factorized target,0,0,8,Historical exposed block,"Layer24 q32 rel error2.31%,cos0.999984,~10.16B analytic/~10.34B proxy; q64 error0.117% at13.34B; q32 oracle error31.1%",,N/A,N/A,Implemented and profiled,Implementation validated,High factorized / low oracle accuracy,Enabler,"Improve independent source/closure, not pullback algebra",adjoint_k3_full_holdout8.json,
M96,Adjoint/source,Source closure falsification,Local code archive,Limited/frozen blocks,0,0,0,No new protected holdout,Born/Gaussian~18% factorized/~38% oracle; checkpoint sample-only candidate/base~1.71/~1.69; direct insertion catastrophic;10% delta neutral,1.69,Poor,Severe tails,Varies,Closed tested source models,Moderate,High if new source model,Independent target-contracted source generation,arc_code audit,
M89,Adjoint/source,Sparse batched adjoint toy localization,Analytic+synthetic,"d16 support8 depth30,128 probes",0,0,0,No,Exactness passed. Toy suffix2–4 retained only~4.7% oracle gain; suffix6–16 harmful; full depth needed. Compression rank4 retained exact toy gain.,,N/A,N/A,"Support32: depth8~6.71B,depth12~9.45B,full~21.80B",Diagnostic / active,High algebra / low transfer,High,Run real frozen source-layer attribution,agent2_sparse_adjoint_results.json,
M90,Micro-cubature,Externally centered adjoint-span transport,Sandbox synthetic proposal,h24/h28 late checkpoints,0,0,0,No,Synthetic signed direction useful after shrink; no real MSE/tolerance success,,N/A,N/A,Projected~5–8B,Open bounded,Low,Winning-scale if real center works,"After real attribution, one frozen configuration",Micro-cubature report,
V76,Layer31,Partial-MUB coefficient pilot,Fresh sandbox screen,"Width256,N=8",8,0,0,No,"16 bases gain1.353 CI0.813–1.746,4/8,worst cand/base1.586;64 bases raw1.489 but adjusted1.004;128 raw1.598 but adjusted0.814",0.7391,4/8,1.586,"+12.2%,+48.2%,+96.3% compute",Closed ordinary score path,Low-moderate,High oracle/no economics,Shared-arithmetic sign estimate <1–2% cost,FRESH_SCREEN / AGENT1_CONTINUATION,
ARCI-5,Conditional,Late-gate integration / residual CV,Sandbox full-width,8 screen+24 frozen validation,8,24,0,No,"Direct gain0.8967,0/8; CV validation gain0.9889 -> candidate/base1.0112,8/24,worst1.195,correlation~0",1.0112,8/24,1.195,Extra replay/integration,Closed tested form,Moderate-high,Low,Sparse finding only,ARC activation continuation,
ARCI-6,Learning/phase,Basis/Walsh phase models,Sandbox synthetic corpus,64 train+18 dev+24 validation,0,24,0,No,Best of96 models gain1.00056 optimistic; raw Walsh0.99941,0.99944,Mixed,Near neutral,Model cost unpriced,Closed tested form,Moderate,Low,Do not reopen basis labels,ARC activation continuation,
ARCI-7,Phase stats,Invariant odd contractions/PCA skew,Sandbox full-width,N=24 validation,0,24,0,No,"All≈1.000; best gain1.00092,worst candidate/base1.0266",0.99908,Mixed,1.0266,Tiny,Closed tested form,Moderate,Low,No further phase-stat grids,ARC activation continuation,
