WHestBench Proof and Non-Compute Frontier — canonical v27,,,,,,,,,
Analytic moment transport is the sole constructive lead; nonlinear late innovation and A90 are narrow hedges; finite-width degree62 is proof-only.,,,,,,,,,
,,,,,,,,,
Research status,,Value,,Current conclusion,,,,,
Active constructive candidates,,1,,No deployable candidate. One measured winning-scale research program remains: fully analytic propagation of a compressed mixed-cumulant state with compatible full rollout.,,,,,
Reported oracle analytic MSE,,1.3e-07,,,,,,,
80% raw-MSE target at floor,,2.962e-07,,,,,,,
Dense pair closure next-variance error,,0.00288,,,,,,,
Latest Gaussian covariance error,,0.0134,,,,,,,
Projected Tucker compute,,3000000000,,,,,,,
Protected / official cohort opened,,No,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Rank,Path,Current evidence,Final status,Potential upside,What would reopen / pass,What is explicitly closed,Math/proof target,Canonical refs,Next use
1,Analytic compressed mixed-moment rollout,M40 oracle pair0.288%; M66 held-out0.856%; M182 marginal good; M183 covariance blocker; M185 deep Tucker compression,PRIMARY CONSTRUCTIVE,Winning-scale oracle and floor economics,"Analytic factor/core recurrence, PSD/realizability, full grouped raw MSE≤2.962e-7 and adjusted≤2.962e-8","Finite-pilot acquisition, teacher-forced-only success, calibration, delayed closure, state low-rank and incompatible full combinations",Downstream-weighted Tucker cumulant recurrence and joint-state stability,"M40,M66,M70,M182-M186",All constructive effort
2,Nonlinear late absolute innovation,Exact source and terminal innovation geometry; linear gauges closed,DORMANT CLASS-ESCAPE HEDGE,Winning-scale source capacity,Exact/shared-arithmetic nonlinear or biased identity,All linear independent-block checkpoint gauges and tested phase features,Absolute innovation identity or lower bound,"M173,M177,T86,T87",Math-only if derivation exists
3,Conic A90 full48 audit,Exact inclusion; provisional r*=0.02292,OPTIONAL PROVISIONAL,Large oracle headroom,Full48 safe tails and physical covariance/economics,A30 and sampled descendants,Score-aware retained source with complete accounting,"T83,M175,M176",At most one bounded audit
4,Degree62 finite-width moment certificate,T88 exact29-state degree28 theorem,PROOF LANE,Publication / possible static class closure,Directed degree62 dual and sharp finite-width denominator,Local comparison polishing and current degree28 component,Excursion-return/tail theorem,"T76,T88",Parallel proof
5,Direct-output linear SOCP,"Exact source, complete primal/dual/ONB/all-layer audits",CLOSED DECLARED CLASS,None,Leave linear unbiased independent-block class,"Partition tuning, more covariance samples, ordinary structured block sampling",Population concentration if publication-level closure desired,"T82,T86,T87",Archive/cite
6,Static signed and ordinary design descendants,Infinite- and finite-width floors plus score-law/MLMC negatives,CLOSED WINNING ROUTE,Publication only,Materially adaptive nonlinear analytic class,"Static nodes/weights/mass, MF rows, low-rank MLMC, stronger ordinary designs",Static theorem refinement only,"T74,T75,T78,T88,M178,M180",No competition experiments
7,Generic learned/sampled covariance and phase,Many oracle local gains but no finite-pilot/downstream/full-rollout gain,CLOSED TESTED FORMS,May serve as bounded residual after analytic state exists,Independent analytic state first,"Broad learners, pairwise loss, sampled moments and generic coefficient predictors",None until new state representation,"M27-M35,M41-M47,M60,M68-M70,M179",Do not reopen generically
8,Shipping implementation,129-basis production retained,SHIPPING ONLY,Protect current result,Repeated operational timing and exact score trace,Unvalidated timeout extrapolation as a reason to sacrifice score,Reliability/economics,"A42,A43,M178",Package validation
