Issue,Previous / ambiguous recording,Corrected evidence,Environment / scale,Confidence,Canonical correction,Source
R1 Compiler absolute projection,Adaptive compiler listed as ~1.442e-7 best near-term score.,1.442e-7 was calibrated from older1.473e-7 assembly-free baseline; current partial-tree row0 is~1.12e-7 but not full-suite. Relative0.97865 remains valid evidence.,Local N=60 plus row0 checkpoint,High,Use relative ratio only; run integrated paired measurement.,NONK3_CONTINUATION_REPORT; compendium
R2 Quadratic control stale open,Current State still called 4–7% exact quadratic best open non-K3 control.,Fresh frozen N=12 reversed to candidate/base1.0188.,Local full-width N=12,High,Closed.,Ledger A31 / current-state history
R3 M85 tail omitted,Shrunk worst network listed as not reported.,70% blend worst candidate/base1.4277; unshrunk worst1.8312.,Local frozen N=8,High,Record tail; mechanism is real but unsafe.,arc_code deep audit
R4 Adjoint understated,Recorded as analytic/sandbox proposal with 20B/<10B estimate.,Local q32 layer24 implementation has2.31% factorized error at~10.34B; q64 0.117% at13.34B. Still~31% from oracle.,Local frozen160–167,High,Mark implementation validated against factorized anchor; closure remains open.,adjoint_k3_full_holdout8.json
R5 Source failures omitted,No canonical row for local closure/source insertion failures.,Born/Gaussian~18% factorized/~38% oracle; checkpoint sample-only1.71/1.69; direct insertion catastrophic.,"Local archive, limited blocks",Moderate-high,Add M96 and close exact tested sources.,arc_code deep audit
R6 Strong oracle c21 omitted,Sparse/cubic narrative centered on N=8 0.190 claim.,"Rank4 oracle-state c21 has candidate/base0.5993 on16/16,worst0.9835.",Local full-width N=16 oracle,High mechanism,Add as stronger replicated feature/control evidence.,arc_code deep audit
R7 Shared vs low-rank,Canonical document said sparse center map was shared low-dimensional.,"Shared at most256D is exact; toy rank90=6 is synthetic, while width256 proxy span rank128. Real rank unknown.",Analytic+toy/proxy,High correction,"Replace 'low-dimensional' with 'shared, empirical rank unknown'.",sparse center report; terminal test
R8 Short-suffix optimism,Adjoint/micro-cubature described short suffix5–10B as promising without negative localization evidence.,Toy source localization retained~4.7% gain at depth2–4 and was harmful at6–16; full depth required.,Synthetic unit test,Moderate warning,Real source attribution becomes prerequisite; do not assume locality.,agent2_sparse_adjoint_results
R9 Stable MLMC worst,Evidence Registry attributed worst2.02 to stable-gate MLMC.,"2.02 belongs older V70 multilevel test; V77 report gives aggregate1.2645,median1.5077, no worst.",Sandbox exact-design proxy,High,Correct worst field to not reported.,FULL_MULTILEVEL report
R10 Partial-MUB nuance,Recorded mainly as closed extra-trajectory pilot.,"N=8 16-basis result is uncertain/tail-unsafe, but64/128 bases make all networks improve; compute erases benefit. This proves sign is estimable with enough independent samples.",Fresh sandbox N=8,Moderate,Close ordinary pilots but open shared-arithmetic companion information.,FRESH_SCREEN / continuation
