WHestBench V27 Integration Map — how the completed experiments fit together,,,,,,,,
,,,,,,,,
Interpretation rule: oracle experiments identify what information would be sufficient; deployable experiments test whether that information can be obtained legally and economically; free-rollout experiments test whether locally accurate states are mutually realizable and stable; score-law and compute audits decide whether any raw-MSE gain actually moves the competition metric.,,,,,,,,
,,,,,,,,
,,,,,,,,
Branch,Question answered,Positive evidence,Negative / closure evidence,Latest update's role,Canonical status,Next decisive gate,Key IDs,Relationship to winning path
Static Kerdock and arbitrary-node cubature,Can better static nodes/weights close the gap?,Kerdock implementation and proof corpus establish a strong baseline.,T74/T57 cap same-cost signed gain near 1.067×; T88 strengthens actual-width proof but remains insufficient.,No change; new harmonic fit is only diagnostic and cannot supersede exact kernel/proof results.,Closed as winning route; publication remains.,None for competition; degree-62 proof only.,"T57,T74,T75,T78,T88",Defines the class that must be left.
Score law and multifidelity,Do raw-MSE improvements from extra rows improve adjusted score?,Exact two-regime score law identifies V·f/B above the 10% floor.,"90,624-row multifidelity improves raw MSE but worsens adjusted score; ordinary row scaling is flat.",Makes complete adjusted economics mandatory across every branch.,Governance theorem / candidate closed.,"Report V, V·f, bias, fixed cost, tails and adjusted score.","M178,T84",Prevents false progress.
Adaptive direct-output source,Does the baseline transcript contain a high-capacity legal correction subspace?,"M173: rank34–38, pooled r*=0.07486, worst0.183, no replay or extra evaluations.",M174/M179: tested signed coefficients are not predictable; magnitude not phase.,Source capacity remains valid.,Structural discovery retained; not a candidate.,Only nonlinear exact late-innovation identity could reopen.,"M173,M174,M179","Explains where cubature error lives, not how to estimate it."
Checkpoint-gauge estimation,Can weights/checkpoints estimate those signed contractions economically?,T82 gives exact convex family and direct estimation as a feasible point.,"T86/T87: selected, dense, late and all-layer programs miss by factors of roughly 5–30+; exact empirical dual certificates.",Completes v26's required bounded audit.,"Closed for linear, unbiased, independent-block checkpoint gauges.",No more partition tuning; derive a nonlinear/biased identity or stop.,"T82,T86,T87",Removes the former lead path.
Late absolute innovation / phase,Is there a different representation of the same direct-output error?,Exact innovation decomposition localizes useful energy to layers28–31.,"Walsh, curvature, companion, phase features, scalar anchors and ordinary pilots fail transfer or economics.",Leaves one narrow analytic identity problem.,"Dormant hedge, not evidence-backed lead.",Exact shared-arithmetic estimator for transported |z| innovation.,"M177,T87","Potential class escape, but no current construction."
Marginal ReLU moment closure,Can non-Gaussian marginal means be modeled accurately?,M03/M04 oracle Edgeworth ceiling; latest one-step audit gives ≈1.9e-4 relative/layer.,Higher orders κ5/κ6 and kappa3-squared can worsen deep layers; same-cloud terminal use is neutral/negative.,Confirms marginal closure is good enough when moments are correct.,Solved locally; state acquisition remains open.,Preserve truncated Edgeworth limits in a realizable rollout.,"M03-M05,M43,M182",One half of analytic propagation.
Bivariate covariance closure,Can pair moments drive next-layer variance below the required error?,M40 already: 2.564% Gaussian →1.009% third order→0.288% third+fourth; M66 gives 0.856% held-out target-width.,M42 finite-pilot moments tie direct sampling; M47 ordinary pair loss worsens downstream contraction.,Latest audit remeasures Gaussian closure ≈1.34% and isolates per-neuron mixed-cumulant correction.,Mathematical sufficiency established; deployable transport open.,"Reproduce dense oracle in common harness, then compress on downstream metrics.","M27-M29,M35,M40-M42,M66,M183",Core local map for winning analytic path.
Moment/tensor compression,Can required mixed cumulants be represented below the compute floor?,M21/M46 show oracle correction structure compresses; latest mode-unfolding spectrum becomes very low rank at depth.,Pilot-estimated subspaces and generic low-rank state/factor models fail; high Frobenius capture need not preserve downstream contractions.,Adds a plausible depth-adaptive Tucker cost route (~3B FLOPs).,Promising oracle diagnostic only.,Oracle Tucker vs dense correction using kappa_iij/kappa_ijj and downstream quadratic forms; then analytic factor recurrence.,"M21,M22,M38,M46,M185","Potentially solves the cost side, not observability/recurrence."
Learned / sampled moment acquisition,Can pilots or regressors supply the state?,One-step oracle-feature models reach 0.60–0.86%; flexible transported law transfers across widths.,Finite-pilot models do not beat empirical covariance; sampled moments are too costly/noisy.,Reinforces that the winning version must be fully analytic or use an exact low-cost state.,Closed for tested finite-pilot and generic learner forms.,No learner promotion without a legal analytic state and grouped full rollout.,"M27-M35,M41-M42,M47,M60,M65-M69",Rules out sampling disguised as analytic propagation.
Joint realizability and free rollout,Do individually accurate mean and covariance maps coexist over 32 layers?,Each component can improve when the other is held Gaussian/oracle; oracle recursive diagnostic shows no unavoidable explosion.,Full-strength combination worsens final mean; damping does not robustly fix it; free learned rollout remains far from target.,"Identifies compatibility, PSD and state realizability as equal to compression in importance.",Open primary blocker.,Construct one symmetric PSD cumulant/covariance state and train/test only with final downstream loss.,"M30-M32,M44,M67,M70,M184",The final gate before a real candidate.
"Low-rank particles, MLMC and delayed closure",Can a cheap correlated trajectory surrogate beat MC-rate economics?,Participation-ratio and late rank collapse suggested a possibility.,"Rank-truncated particles, factor models, MLMC telescope and delayed closure decorrelate/amplify error.",Explains why low-dimensional state projection is the wrong compression object.,Closed tested forms.,"Compress moments/tensors, not activation trajectories.","M15,M16,M38,M56,M180,M184",Narrows the analytic representation.
Conic A90,Can a different high-capacity direct source avoid PCA phase issues?,Exact inclusion and provisional pooled r*=0.02292.,"Full48, tails and physical covariance remain absent; all A30 descendants fail.",No later completion found in Library.,Optional one-shot diagnostic only.,Full48 source and no-fit physical covariance with all costs.,"T83,M175,M176",Secondary hedge; not the lead.
Finite-width proof program,Can static/adaptive classes be closed mathematically at actual width?,T88 exact tensor-degree Markov certificate is a major proof advance.,Degree-28 component remains below competition threshold; no estimator follows.,Separates publication progress from score progress.,Active theorem lane.,Degree62 excursion-return dual and sharp denominator.,"T76,T88","Useful closure/publication, not candidate construction."
Shipping and protected evaluation,What should be submitted while research continues?,129-basis baseline remains best validated executable.,No new statistical candidate passes; 112-basis timeout insurance lacks repeated official-like timing evidence.,Current updates do not justify opening protected data.,Retain production; operational validation only.,Packaged runtime distribution and exact scoring trace.,"A42,A43,M178",Protects current score; does not win.
