claim_id,claim,status,scope,evidence_boundary
C01,"The benchmark estimates post-ReLU activation means of random ReLU MLPs from weights under a strict FLOP budget.",public_definition,"Current official public benchmark documentation","Safe benchmark description; do not conflate it with ARC-AGI."
C02,"The 129-basis package reportedly achieved adjusted 1.4641716e-7 on exposed Mini-100 with zero failures.",reported,"Exposed Mini-100 only; later fused-reduction build, never submitted","Exact matching shipping archive is not independently reproduced."
C31,"AIcrowd Phase 1 submission 320802 was graded successfully at adjusted 1.55e-7 with 50/50 public MLPs scored and zero failures.",official_grader,"Public 50-MLP split of the Phase 1 test set; private 50 sealed","Read from the AIcrowd submission page on 2026-08-03. Final rank is undetermined until the private split is released."
C32,"The archive in arc_whitebox/submissions/production_baseline_320802/ is the estimator behind submission 320802.",reported,"Frozen re-package cut 2026-07-30 from the T0 grader-instrumentation bundle","Identified by matching the recorded operating point (adjusted 1.55e-7, raw 2.416e-7, effective compute 1.745e11), not by byte comparison with the uploaded tarball. AIcrowd holds the authoritative upload."
C33,"Replacing dense propagation with the tracked depth-5 Winograd kernel improved adjusted score 1.5412x at unchanged statistical design.",checked_local,"Exposed Mini-100, 100 networks, zero failures, both arms","Same 66048-point design and output rows; the gain is charged-cost reduction, not accuracy. Cohort differs from the graded AIcrowd cohort."
C34,"Layers 1 to 30 are returned as zeros; only layer 0 and layer 31 carry estimates.",code_fact,"The submitted estimator","Deliberate choice against the scored final-layer objective; it is why all-layers MSE sits near 0.74."
C03,"Complete Kerdock is within 0.0233242% of the nonnegative static-rule infimum.",external_review,"Dimension 256; depth-32 limiting normalized-ReLU kernel; static network-independent linear cubature; at most 66048 nodes; nonnegative mass-one weights","Conditional on the certified interval stack; independent interval reconstruction and human proof review remain open."
C04,"The audited signed frozen-witness result caps Kerdock-relative risk reduction at about 6.294%.",external_review,"Same static limiting class and fixed node budget","Not an equal-FLOPs or equal-wall-time result."
C07,"For a known-mean anchor and independent complete blocks, the estimator variance is block residual variance divided by the number of blocks.",exact_identity,"Independent sampled complete blocks with a known anchor expectation","Do not substitute rowwise residual variance."
C29,"No protected evaluation was opened during the final research phase covered by this release.",process_record,"Project record through the final local write-up","Does not state anything about future evaluation."
C30,"LLM agents assisted with ideation, proof attempts, code review, synthesis, and drafting.",disclosure,"Entire project","AI assistance is not independent evidence."
