WHestBench Challenge Frontier — canonical v27 full experiment synthesis,,,,,,,,,,,
Winning-scale constructive work is now one analytic transport program; all linear checkpoint-gauge and ordinary sampling descendants are closed.,,,,,,,,,,,
,,,,,,,,,,,
Competition threshold,,Value,Bottom line,,,,,,,Raw MSE gain,Maximum cost ratio to reach 4.34x
Current adjusted score reference,,1.481e-07,"An 80% reduction requires adjusted score≤2.962e-8. Below the10% compute floor this is raw MSE≤2.962e-7. The reported analytic oracle MSE1.30e-7 has margin, but no deployable recurrence exists.",,,,,,,1,0.2304147465437788
80% adjusted-score target,,2.962e-08,,,,,,,,1.03444,0.23835023041474657
10% floor raw-MSE target,,2.962e-07,,,,,,,,1.0671835171201483,0.24589481961293738
Reported analytic oracle MSE,,1.3e-07,,,,,,,,1.1,0.2534562211981567
Static same-cost gain cap,,1.067183517,,,,,,,,1.2,0.2764976958525346
Direct-source linear optimum status,,Closed,,,,,,,,1.3,0.2995391705069125
,,,,,,,,,,1.5,0.3456221198156682
Rank,Path,Class,Current status,Best evidence / ceiling,Standalone winning-scale?,What opens it,What closes it,Canonical refs,,2,0.4608294930875576
Rank,Path,Class,Current status,Best evidence / ceiling,Standalone winning-scale?,What opens it,What closes it,Canonical refs,,,
1,Compressed analytic mixed-moment propagation,Bias-limited white-box analytic,Primary open constructive program,Oracle MSE≈1.30e-7; dense pair closure0.288%; latest Gaussian covariance error≈1.34%; Tucker cost≈3B diagnostic,"YES, conditionally","Legal analytic Tucker/core recurrence, realizable PSD joint state, full rollout raw MSE≤2.962e-7 and compute≤10%",Dense correction fails common harness; compression loses downstream modes; recurrence or rollout fails,"M40,M66,M70,M182-M186",,,
2,Nonlinear analytic late absolute innovation,Adaptive direct output / class escape,Narrow dormant hedge after linear closure,Source r*=0.07486; late layers28-31 carry useful energy,"YES, conditionally",Exact/shared-arithmetic nonlinear or biased identity with full score,T86/T87 applies or identity requires uneconomic sampling,"M173,M177,T86,T87",,,
3,Conic A90 master dictionary,Adaptive conic direct output,Optional provisional audit only,12-case r*=0.02292; full48 and covariance missing,"YES, conditionally",Full48 safe tails and physical covariance/economics,Any full48/tail/covariance failure,"T83,M175,M176",,,
4,Finite-width degree62+ certificate,Proof / class closure,Active publication lane,T88 degree28 floor1.9250e-8; competition closure still2.913× away,NO direct score,Degree62 excursion-return dual and sharp denominator,Optimistic degree62 ceiling remains below threshold,"T76,T88",,,
5,Shipping/runtime risk validation,Production engineering,Baseline retained,129-basis best validated executable; no statistical candidate,NO winning-scale,Measured operational reliability or true 5× equivalent cost reduction,Official-like repeated trace shows no meaningful gain,"A42,A43,M178",,,
6,Direct-output linear checkpoint gauges,Adaptive linear estimator,Closed declared class,"Source-specific, late, dense, ONB and all-layer dual programs fail",NO,Only leave the declared linear unbiased independent-block class,T86/T87 certificates,"T82,T86,T87",,,
7,Static/cubature/ordinary MLMC descendants,Static/MC-rate sampling,Closed winning route,Static cap≈1.067×; MF score-negative; MLMC and stronger ordinary design diagnostics fail,NO,A new non-MC-rate estimator class,Existing theorem/economics/validation,"T74,T88,M178,M180",,,
8,Generic moment/phase learners and sampled moment pilots,Learned/sampled white-box,Closed tested forms,Strong oracle/local fits but no downstream or finite-pilot deployment gain,NO,"Independent analytic state that already passes, with learner only a bounded residual",Grouped full rollout and complete score fail,"M27-M35,M41-M47,M60,M68-M70,M179",,,
