claim_id,experiment_id,headline_number,canonical_status,source_file,script,cohort_rotations,reference_streams,metric,selection_chronology,stage,hash_reproducibility,agent9_decision,paper_wording
T22-gap,T22/T23,0.0233655%,COMPUTER-ASSISTED CERTIFIED,T22/T23 proof package; Agent1 and Agent2 audits,formal_base_certificate.py; formal_sign_chunk.py; verify_theorem_package.py; verify_manifest.py; Agent1 independent_check.py,"No empirical cohort; infinite-width d=256, depth-32 normalized ReLU kernel",Not applicable,Kernel energy / ensemble MSE ratio; deterministic certificate,Degree-5 auxiliary and certificate fixed before audit,Proof / computer-assisted certificate,Source proof ZIP SHA256 9baf5da0ff42702f1035d38613444ec29a55addffbad876c311968098f1b3b19; 32 tracked files and 23 curvature chunks reproduced byte-for-byte,"KEEP, CORRECT WORDING",Kerdock is within at most 0.0233655% of the optimum in the scoped fixed/network-independent nonnegative class. Do not call this a proved positive gap.
T27-restricted-signed,T27,"Global optimum on 33,024 Kerdock lines",PROVED,GLOBAL_SUPPORT_THEOREM.md; Agent3 bundle,verify_t27.py,No empirical cohort; fixed antipodal Kerdock line universe,Not applicable,Exact depth-32 kernel risk over arbitrary real line weights summing to one,Analytic derivation independently rederived and adversarially checked,Proof / scope-bounded,Agent3 ZIP SHA256 07f3ac0e3a5016944ea9dd3b82aa5e008e1713c45c6d809f212c4eea04985df2; internal manifest verified,KEEP WITH SCOPE,"Within the fixed Kerdock line universe, arbitrary signed/unequal real line weights cannot improve on filling complete bases according to the theorem. This does not cover arbitrary nodes, non-antipodal nodes, nonlinear estimators, or network-adaptive weights."
T16-tail,T16,"Tail cutoff l >= 14,659",PROVED UNDER EXPLICIT CERTIFICATE ASSUMPTIONS,Agent4 T16 proof package,prove_t16_all_degree.py,No empirical cohort; d=256 Gegenbauer reduced costs,Not applicable,Reduced-cost sign for all harmonic degrees l >= 6,"Exact finite verification for 6..14,658 plus analytic tail for l>=14,659",Proof / analytic plus exact computation,Agent4 ZIP SHA256 e03bb218c081a74a0efda193605e5c1ae5fb8df973d88f6b909fad773d8940d6; internal SHA256SUMS verified; script rerun PASS,KEEP NARROW RESULT; DO NOT OVER-UPGRADE,All reduced costs are negative from degree 6 onward for the recovered dual data. Full all-degree LP optimality remains conditional on exact primal-attainment/complementarity data.
signed-negative-mass,T28/Proposition 5,"Required beta for 0.1%,1%,5%,10% gains","COMPUTER-ASSISTED CERTIFIED, PRACTICALLY WEAK",Agent5 signed-weight audit,signed_weight_certificate.py; compute_exclusion_curve.py,No empirical cohort; unrestricted nodes with bounded total negative mass beta,Not applicable,Directed-interval upper bound on sup(K-h) and exclusion curve,"Targets fixed at 0.01%,0.1%,1%,5%,10%",Proof / certified numerical bound,Agent5 ZIP SHA256 49d6468cfdbae06b78ca2bfd9e89743d8df683bf60cb20c9f88aebe6bf8948c2; internal SHA256SUMS verified; core scripts rerun PASS,"KEEP AS LIMITATION/ROBUSTNESS, NOT HEADLINE CLOSURE","The positive-weight certificate is stable to sufficiently tiny negative mass, but the certified thresholds are too small to exclude competition-relevant signed rules."
M146-depth-ratio,M146,1.012 layer-31/layer-32 relative-error ratio,EXPLORATORY EMPIRICAL — PROVISIONAL/UNVERIFIED,Ledger/local transcript only; summarized in Agent6 audit,Missing original M146 script,Reported 60 networks; exact IDs and rotations absent,Missing,Reported relative design-error ratio; ordinary/noise-corrected convention not recoverable,Unrecoverable from available artifacts,"Reported local diagnostic, not frozen paper evidence","No source rows, manifest, or hashes found. Agent6 only checked arithmetic consistency of four reported points.",REMOVE NUMBER FROM HEADLINE; DOWNGRADE,A local 60-network diagnostic reportedly found similar relative error at layers 31 and 32. Treat only as motivation until the source package is restored.
M146-exact-anchor,M146,41.2x exact layer-31 replacement gain,ORACLE DIAGNOSTIC — PROVISIONAL/UNVERIFIED,Ledger/local transcript only; summarized in Agent6 audit,Missing original M146 script,Reported 60 networks; exact IDs and rotations absent,Missing,Reported raw-MSE gain from exact anchor replacement,Unrecoverable from available artifacts,"Oracle diagnostic, not deployable evidence",No original rows/manifests/hashes. Internal quadratic consistency is not reproduction.,REMOVE NUMERIC HEADLINE PENDING SOURCE RECOVERY,Exact layer-31 replacement was reported to have a large oracle effect; the exact multiplier is not citable from the present archive.
M146-tolerance,M146,approximately 5e-4 tolerance / 5.80e-4 fitted break-even,EXPLORATORY EMPIRICAL — DIRECTION-DEPENDENT,Reported M146 points; Agent6 synthetic adversarial audit,agent6_adversarial_anchor_audit.py,Original 60-network cohort unavailable; Agent6 synthetic directions are separate diagnostics,Original missing,Candidate/base ratio versus injected anchor error,Agent6 fit performed after seeing reported points; synthetic direction tests are adversarial diagnostics,Provisional fit plus exploratory counterexamples,Agent6 ZIP SHA256 9c2016a1c8a870c9cb02d01708e80d997d16db148d8712e18f647ebbd4b30df3; bundle manifest verified; scripts rerun PASS,REPLACE UNIVERSAL THRESHOLD CLAIM,Anchor usefulness is controlled by downstream-weighted error and can vary strongly by direction; approximately 5e-4 is at most a cohort/perturbation-specific reported scale.
M147-T4,M147 / T4.1,1.127854 raw ratio,FROZEN DEVELOPMENT EMPIRICAL,REPORT(12).md; RESULTS(3).json; T4 MANIFEST.json,generate_t4_exact_rotations.py; analyze_t41_policy.py; summarize_t41.py (listed in manifest),"Width 256/depth 32; development IDs 6000–6015; rotations 3,11,97; calibration 6016–6023 and validation 6024–6031 sealed","Six independently scrambled Gaussian Sobol streams, aggregated into two 196,608-sample halves","Raw ratio 1.127854; noise-corrected 1.145174; 17/48 wins; worst 2.480711; grouped raw interval [1.004602,1.305179]","Literal-rotation configuration frozen before labels; 2,250-rule finite policy grid; branch stopped at development gate","Frozen development, not frozen validation and not official",REPORT SHA256 4388c1d1c1069c28d89639090b8161d873dcc8faf3b7eee5aa4cbfaf5788c102; RESULTS SHA256 83c5577d9b1042c230ae15afe2ed136d2fd24c73b788502b59ec9b54aa4d9532; row/policy hashes in T4 manifest,KEEP AS TRACEABLE NEGATIVE RESULT; LABEL DEVELOPMENT,A preregistered development-stage T4 policy failed decisively (raw ratio 1.127854); protected calibration and validation cohorts were not opened.
M76,M76,Kerdock vector/scale gains about 0.94–0.99x,SCIENTIFIC RECORDED / EXPLORATORY — INCOMPLETE PROVENANCE,"Canonical ledger summary; “Weight-space decisive comparison, 2026-07-28” not located as a complete package",Missing from reviewed archive,Matched held-out tests reported; exact cohort and rotation grouping not recovered,Missing,Reported candidate/base gains; exact aggregation and noise correction not recovered,Not reconstructable,"Prior held-out summary, not paper-ready replication","No source row predictions, split manifest, or code hash located",KEEP ONLY QUALITATIVE HISTORICAL SUMMARY OR REMOVE,Tested weights-only models did not improve Kerdock residual prediction. Omit the 0.94–0.99 numerical range unless the original package is restored.
M145,M145,17.68x/3.82x/1.483x oracle scalar; 1.479x rank-8; 10.6% mean direction,ORACLE/EXPLORATORY — PROVISIONAL TRANSCRIPT EVIDENCE,Pasted text(57).txt; ledger row M145,Local scratchpad scripts not persisted,Widths 32/64/256 and exposed Mini diagnostics; exact IDs/rotations not recovered,Missing,Oracle gains and cross-network geometry; exact ordinary/noise-corrected conventions missing,Local branch transcript; chronology not independently auditable,"Oracle diagnostic / exposed Mini, not frozen paper evidence",Transcript SHA256 8e8a1396204f98a680528b1227feae0b2416be4c3f09cb6e2c043a90b25a1f72; underlying rows/scripts absent,REMOVE NUMERIC DETAILS FROM PAPER PENDING ARTIFACT RECOVERY,"Oracle scalar structure appears to weaken with width and pooled corrections capture little of the residual, but exact numerical claims remain provisional."
