WHestBench V31 Decision Memo — final mixture squeeze and official baseline,,,,,
,,,,,
Status,Object,Latest evidence,Canonical decision,Next gate,Priority
VALIDATED,129-basis shipping package,Official Mini100:1.4641716e-7 adjusted;0 failures,RETAIN,Tail audit only,0
REPLICATE,Final local gates,Author reports multiple self-corrections; raw scripts/JSON not attached,INDEPENDENT RERUN,M205-M208,1
ONE FINAL RUNG,Tied/shared-covariance M192,General heteroscedastic exact/Taylor/low-rank routes fail,TEST THEN CLOSE,Exact K<=64 shared structure,2
CONDITIONAL PRIMARY,Cubic boundary/Walsh identity,Untouched by mixture closure,ONE ALGEBRAIC TEST,M194,3
BOUNDED,Kerdock QTT,Still untouched,ONE FALSIFIER,M189,4
BOUNDED,Boundary-normal fan,Covariance rank remains out of scope,ONE AUDIT,M193,5
LOW UPSIDE,Official tail mechanism,Worst network≈6% total loss,ONE GROUPED AUDIT,M210,6
ENGINE/PROOF,M190,Standalone low-band ceiling≈1.58x,NO STANDALONE,Internal only,7
DEFERRED,M195,Handcrafted features closed,NO BROAD TRAINING,Anchor first,8
QUARANTINED,Root estimator.py,FlopScope dot(out=) crash,REMOVE FROM PATHS,Port only separately,0
Representation,"Use one coherent generative law, not separately fitted means/covariances/pair matrices.",T89 nonclosure and M70 incompatibility.,"Held-out latent oracle <=0.3%, PSD, legal factors.",Only unrestricted/overfit oracle passes.,"T89-T92,M187"
Claim,Agree?,Reason,Scope limit,Consequence,IDs
Taylor family closed,Yes,Pooled covariance recenter does not improve error; mean spread drives it,Shared-reference first/second order only,No more centers/hierarchies,"T106,M205"
Low-rank direct route closed,Yes,Required r128 makes cost n3,Tested Hermite/factorization route only,No more covariance truncation,"T107,M206"
All analytic mixtures closed,"No, too broad",Tied/shared-correlation exact reuse not isolated; other non-mixture states exist,Current heteroscedastic implementation program,One final M192 exception,"M192,M207"
Baseline validated,"Yes, reported",Official subprocess result matches local prediction0.03%,Exposed Mini; JSON needs independent check,Retain package,M208
Root estimator is not a candidate,Yes,Runtime TypeError on smoke test,Current package/version,Quarantine,M209
Stop research and write paper,No as a competition conclusion,Rare class escapes remain though priors are low,No current broad primary program,M194 then cheap falsifiers,M211
Reproduction status,Strong local evidence,Scripts/JSON referenced but not attached,Independent regeneration required,Protected data remains sealed,Open
Audit cutoff,Source,Independent artifacts attached?,Canonical version,Protected data,Conclusion
2026-07-31 16:42 ET,Pasted text(68).txt,No: scripts/JSON referenced only,v31,Sealed,Baseline validated; no improvement candidate; one mixture exception plus class escapes
2026-07-30 23:01 ET,Agents 1-10 relevant final markdowns located/reconciled,No later substantive Library result located in cutoff scan,v29,Sealed,Up to date at cutoff; no deployable candidate
2026-07-30 23:01 ET,Agents 1-10 relevant final markdowns located/reconciled,No later substantive Library result located in cutoff scan,v29,Sealed,Up to date at cutoff; no deployable candidate
