ID,Claim,Status,Canonical wording,Scope,Exclusions / caveats
T22-A,Static arbitrary-node near-optimality,COMPUTER-ASSISTED CERTIFIED,Complete Kerdock is at most 0.023324172950039% above the infimum in the stated class.,Infinite-width normalized depth-32 ReLU kernel; d=256; <=66048 nodes; nonnegative mass-one weights; deterministic or network-independent randomized linear rules.,"Does not cover finite width, signed weights, adaptive/network-dependent rules, or nonlinear estimators."
T16,All-degree auxiliary LP,COMPUTER-ASSISTED CERTIFIED,The degree-5 Hermite minorant at the three algebraic dual nodes is the unique optimizer of the admissible all-degree auxiliary LP.,Finite or absolutely convergent nonnegative Gegenbauer expansions under the stated convergence and interval-arithmetic trust base.,"Second independent stack currently covers reduced costs, not the sixth-derivative/Hermite feasibility step."
T27-IW,"Fixed Kerdock-line support, limiting kernel",PROVED UNDER EXPLICIT MODEL,Complete bases plus at most one partial basis optimize arbitrary real line weights in the fixed 33024-line Kerdock universe.,Static linear rules; symmetrized antipodal lines; fixed MUB universe; line budget.,Not arbitrary nodes or adaptive/nonlinear rules.
T27-FW,"Fixed Kerdock-line support, finite width",PROVED UNDER EXPLICIT NONDEGENERACY CONDITION,The T27 support allocation extends to finite-width Gaussian-first-layer ensembles whose symmetrized output has nonzero even Hermite mass of degree >=4.,"Architecture Y(x)=F_Z(Wx), Gaussian first layer independent of Z, square integrability, projective symmetrization, nondegeneracy.",Does not yield finite-width arbitrary-node near-optimality or an absolute finite-width MSE value.
CS-FW,Complete-support uniform fixed weights,PROVED,Uniform mass-one weights minimize ensemble MSE on the complete Kerdock support whenever the support Gram matrix has constant row sum and the integral cross-covariance is constant.,"Fixed linear weights on complete support, any width; mass-one constraint.",No uniqueness without positive definiteness on 1-perp; no adaptive weights/nonlinear aggregation.
SIGN-STAB,Arbitrary signed negative-mass stability,PROVED; CONSTANT CERTIFIED,A beta-dependent lower bound holds for consolidated signed measures.,Jordan negative mass; stated support-count and residual-supremum assumptions.,Numerically too weak to close useful off-support signed rules.
INFO,Runtime information value,PROVED / STANDARD PROJECTION THEORY,The best correction measurable from a sigma-field is the conditional expectation of the baseline error; attainable gain is its squared L2 norm.,Hilbert-space L2 setting.,"Organizing principle, not claimed as a new probability theorem."
GROUP,Group-invariant observability,PROVED UNDER EXPLICIT SYMMETRY MODEL,Invariant observations recover only the invariant component of error.,"Measure-preserving group action, equivariant error, invariant observation map.",Actual WHestBench conditional sign symmetry remains an empirical hypothesis.
ANCHOR,Downstream-weighted replacement gate,PROVED UNDER EXPLICIT REPLAY MODEL,"Replacement is judged by downstream-weighted defect and nonlinear crossing remainder, not an unweighted scalar precision threshold.",Specified Jacobian/replay model and randomization.,No universal approximately 5e-4 threshold.
HARM-LOW,Low-degree/null-space controls,PROVED FOR NAMED FAMILIES,Uniformly annihilated controls are pathwise useless even with adaptive global parameter selection.,Complete Kerdock 5-design and precisely defined radialization/control family.,"Does not cover node-specific, biased, deep, or live-degree controls."
M146,Archived exact-anchor curve,PROVISIONAL / NON-EVIDENCE,May appear only as an unreproduced historical report.,None.,"Original cohort, directions, seeds, streams, scripts and hashes absent."
M152,1100-network scalar corpus,REMOVED AS EVIDENCE,May appear only in a reproducibility-failure appendix.,None.,"Corpus, target, features, grouped splits, predictions, script and hashes absent."
PATH2,Reproduced scalar audit,FROZEN EMPIRICAL — NARROW NEGATIVE,The tested models add no demonstrated feature-dependent value over matched constants in the tested grouped split.,"Specific Path-2 features, groups and noisy target.",Not universal unlearnability; source archive omission and target-noise caveat.
REOPEN-1,Archived downstream-rescored anchors,FROZEN DERIVED-OUTPUT EVIDENCE,Best fixed external arm improves pooled raw MSE but has unacceptable rotation/tail instability.,Declared archived splits; derived arrays and summaries.,Not a deployable submission and not a clean-room rerun from original trajectories.
REOPEN-2,Weight-derived Poisson dictionary,FROZEN EMPIRICAL — FAILED,Exploratory gain failed preregistered terminal evaluation.,"Tested directions, radii, folds and seeds.",Broader nonpolynomial analytic controls remain open.
REOPEN-3,Projected exact-mean ReLU dictionary,FROZEN EMPIRICAL — FAILED,Initial terminal gain reversed on a 48-network frozen extension and fails adjusted economics.,"Tested subspaces, widths, biases, folds and seeds.",Different nonlinear controls remain open.
REOPEN-4,Outside-Kerdock signed near-collision probes,FROZEN EMPIRICAL — NONTRANSFERABLE,"Large per-network oracle capacity exists, but frozen global coefficients regress severely.",Tested weight-derived pairs and 64 frozen validation networks.,Does not prove phase is unobservable from every possible legal representation.
FW-T22,Finite-width arbitrary-node near-optimality,OPEN,No finite-width analogue of T22 is claimed.,"Would require a finite-width minorant, a sharp coefficient comparison, or direct finite-width optimization certificate.",Uniform kernel perturbation is far too crude at the certified additive scale.
ACCOUNT,Public high-row accounting,EXPLANATORY / PARTIALLY AUDITED,May be used only as method-agnostic explanatory forensics.,Released package numbers and stated accounting assumptions.,No participant attribution; full official log-to-score audit still required.
