WHestBench V28 Decision Memo — out-of-box agent consolidation,,,,,
,,,,,
Status,Primary object,Evidence,Decision,Next gate,Priority
NO CANDIDATE,Conditional covariance mixture / latent sign–magnitude law,T89-T92; M187-M188,Primary constructive program,"Run attribution + H0/H2 oracle, then legal rollout",1
CLOSED AS STATE,Pairwise orthant/sign/truncated matrices,"T89,T90",Diagnostic only; cannot recurse exactly,Use only attribution/downstream contractions,0
CLOSED BROAD FORM,Continuous Cartesian/rotated TT,T93,Rank/economics obstruction,No build,0
BOUNDED HEDGE,Direct final-output Kerdock QTT,"T94,M189",One cheap existing-array rank audit,Close at rank>16/common pivot failure,4
CLOSED BROAD FORM,Coordinate-sparse and ANOVA PCE,T95,Generic density and rotation instability,No global sparse recovery,0
SECONDARY ENGINE,Environment-weighted compositional chaos,"T96,M190",Potential exact degree-10 expectation engine,Oracle downstream rank + legal orientation,3
DORMANT HEDGE,Nonlinear late absolute innovation,"T86,T87",Outside closed linear gauges but no new construction,Only exact/shared-arithmetic identity,5
PROOF LANE,Degree62 actual-width static theorem,T88,Publication/class closure,Separate resource allocation,6
,,,,,
Core synthesis,Conclusion,Why prior approaches failed,What would count as progress,Kill condition,Canonical refs
Representation,"Use one coherent generative law, not separately fitted means/covariances/pair matrices.",T89 nonclosure and M70 incompatibility.,"Held-out latent oracle <=0.3%, PSD, legal factors.",Only unrestricted/overfit oracle passes.,"T89-T92,M187"
Mechanism,Test covariance modulation and weighted absolute kernels before raw orthant models.,Weak third-order but strong historical fourth-order; T90 identity.,H2 materially beats H0 under downstream metric.,Orthant/weighted residual not compressible.,"T90,T92,M187"
Recurrence,Fixed-K conditional Gaussian mixture is the clean first legal rollout.,Exact conditional moments; projection is the only approximation.,Stable 32-layer rollout under <=27.2B.,Projection reverts to Gaussian failure or K/H explodes.,"T91,M188"
Compression engine,Use environment-weighted tensor contractions where they preserve the final query.,Global tensor/Frobenius or coordinate sparsity is misleading.,M190 shows low legal downstream ranks with high global-degree content.,Oracle rank does not transfer to weight-derived orientation.,"T95,T96,M190"
Direct trajectory compression,QTT only over 16-bit Kerdock index merits testing.,Continuous input rank is too high; Kerdock nonlinear spectrum densifies.,M189 legal cross reconstructs mean within score budget.,Rank>16 or no shared pivots.,"T93,T94,M189"
,,,,,
Audit coverage,Completed new reports,Not located as completed new reports at cutoff,Evidence rule,Protected data,Version
Shared Library through 2026-07-30 22:22 ET,"Agents 1,2,5,6","Agents 3,4,7,8,9,10 (Agent4 concept covered by Agent1)",Pending is not negative evidence,Sealed,v28
