Evidence item,Role in paper,Status,Key claim / result,Caveat,Source
T22/T23/T31 canonical proof release,Main near-optimality theorem and reproducibility,Certified / release-hardened,"One-sided ≤0.02336550102949%; exact MUB asset construction; 32 outputs,23 chunks,59 manifest entries",Infinite-width static nonnegative class; external digest/full CI action remains,T22_RELEASE_CLOSURE.md; Agent2 strengthening
T30 full auxiliary theorem,Proof strengthening,Computer-assisted certified,Unique all-degree degree-5 Hermite auxiliary; tightened 0.023324172950039% comparison,Certificate optimum is not true cubature optimum,T16_FULL_LP_THEOREM.md
T29/T27/T37 static structure,Exact support/weight theory,Proved under stated models,All-width complete-support uniform weights; fixed-line real-weight optimum; general sign-condition theorem,Distinct support universes and assumptions,Agent3 Cascade; GLOBAL_SUPPORT_THEOREM; StrongerClaims
T33/T28 information and correction theory,Adaptive-correction framework,Proved under assumptions,"Information value, selector/replacement/shrinkage, common-bias and ReLU remainder",Not universal observability impossibility,PAPER_APPENDIX_LAYER31.md; StrongerClaims
T32 post-ReLU counterexample,Scope guard,Proved counterexample,Observed field is non-Gaussian; nonlinear estimator can beat equal-weight linear averaging on an explicit ReLU family,Not a challenge submission candidate,Agent3 Cascade FINAL_REPORT.md
T34/T35/T36 methodology,Finite-width/control theory,Proved identities / conditional theorem,"Kernel perturbation target, residual-kernel recertification, uniform control nullspace",Width256 quantitative bound still open,STRONGER_CLAIMS_PROOF_ATTEMPTS_20260730.md
Signed negative-mass audit,Signed stability,Certified but weak,Exact M=0.017021894267861247; 10% target requires beta only ~7.13e-7,Does not close arbitrary signed nodes,Agent5 SignedWeight Audit
M153 grouped T4 observability,Tested feature-class closure,Fresh grouped development,All grouped OOF R² negative; selector worse than best fixed arm,Closes dictionary only,Agent3 Cascade FINAL_REPORT.md
M154 transfer probe,Mechanism diagnostic,Fresh synthetic diagnostic,No tested mean/random/shape amplification above 1.5,Not uniform theorem,TEST3_TRANSFER_PROBE.json
M155 archived anchor rescoring,Downstream gate / negative result,Exposed external reanalysis,"Raw 0.851978 but p90 1.3407, worst 1.9242 and rotation reversal",Not fresh or deployable,ReopenedPaths final report
M156 Poisson controls,High-degree analytic negative,Frozen terminal,Exploratory 0.929 reversed to terminal 1.038,One tested family only,ReopenedPaths final report
M157 projected-ReLU controls,Nonlinear analytic-plus-residual negative,Frozen extension,16-network 0.927 reversed to 48-network 1.013 raw/1.067 adjusted,Tested subspaces/dictionary only,ReopenedPaths final report
M158 outside-Kerdock signed probes,Oracle/transfer gap,Frozen synthetic validation,"Oracle 0.131; global 1.557, worst 5.404","Global representation failure, not all signed methods",ReopenedPaths final report
M146,Evidence quarantine,Provisional / non-evidence,Historical curve internally consistent only,"Rows, directions, metric and manifest absent; threshold noninvariant",EVIDENCE_QUARANTINE.md; Agent6
M152,Evidence quarantine,Removed / not citable,No primary corpus or experiment package,Path-2 is a different experiment,EVIDENCE_QUARANTINE.md; Agent9
M76/M145 historical learning,Qualitative context,Incomplete provenance,Tested pooled/weight-only representations did not recover stable signed residual,Do not cite exact ratios/scaling,Agent9 evidence audit
ReopenedPaths reproducibility bundle,Latest competition closure,Frozen synthetic / archived,"68 full-width networks, preregistered terminal and extension splits, no protected cohort opened",Synthetic/exposed evidence,REOPENED_PATHS_FINAL_REPORT_20260730.md
Evidence quarantine/master register,Claim governance,Canonical,"One-sided T22, stale-v4 hashes, M146/M152 removal, public-accounting caveat",Must be applied to assembled manuscript,EVIDENCE_QUARANTINE.md; MASTER_CLAIM_REGISTER.md
Canonical v16 ledger,Falsification map,Mixed evidence with explicit labels,"394 experiment rows plus theorem, cohort, contradiction and reopening records",Historical evidence tiers remain heterogeneous,This workbook
T38 finite-width fixed-line theorem,Finite-width scope strengthening,Proved under model,Exact MUB-line allocation at every finite width/depth,Not arbitrary-node T22,OPEN_QUESTIONS_PROGRESS_20260730.md
T39 invariant-information theorem,Observability framework,Proved under symmetry,Only invariant error component is runtime-observable,Actual symmetry empirical,OPEN_QUESTIONS_PROGRESS_20260730.md
T40 residual spectral theorem,Control methodology,Proved identity,Exact live-degree residual recertification recipe,Linear equivariant surrogate only,OPEN_QUESTIONS_PROGRESS_20260730.md
T41 dual-engine package,Proof reproducibility,Complete independent numerical replay,"All 1,421 intervals and theorem assembly reproduced",Shared derivation; no cross-OS/human sign-off,Agent2 dual-engine release
M159 final descendants,Competition stopping evidence,Frozen fresh negative,Stein 1.010720; T4 shrink 1.000097 versus oracle 0.856469,Tested classes only,Agent5 final report
T42 downstream normal equation,Observability correction,Proved,Exact layer-space runtime optimizer under random downstream scoring,General theorem; transcript must be declared,Conditional Observability theorem memo
T43 quantitative phase ceilings,Observability correction,Proved / application open,"Approximate flip, divergence, MI, sequential and Fano ceilings",No actual WHestBench divergence bound yet,Conditional Observability memo; Best Theorem Targets
T44/T45 kernel and signed bounds,Static/signed theory,Computer-assisted / audit pending,Positive-definite optimized residual; signed risk floor1.7011781e-8,Single interval stack; infinite width,Best Theorem Targets bundle
T46/M163 companion frontier,Control economics,Exact model theorem + frozen certificate,eta0.04316 vs0.10996 requirement; one-companion adjusted1.075,Population all-m claim conditional,STRONGER_IMPOSSIBILITY_BOUNDS.md
M160–M162 Oracle continuation,Falsification map,Authenticated mechanism + class closures,Weakly coherent repair increments; five-source and invariant-summary failures; source oracle1.144709x,Named classes only,OracleContinuation FINAL_REPORT.md
M164 partial-MUB falsifier,Governance / unresolved check,Exploratory exposed result,"24-basis rank24 adjusted gain1.03444,8/8,worst0.99789",Post-hoc; untouched validation absent,BOUNDS_DECISION.md
T47 weighted signed floor,Static/signed proof genealogy,Certified but superseded numerically,Historical degree15 floor0.5051771255 R_K; later raised by D47/T56 and T57,Do not use as current headline; same infinite-width static scope,T47_WEIGHTED_HARMONIC_RANK_FLOOR.md
T48 gauge obstruction,Observability / representation,Proved,Full sign-quotient coefficient policy must vanish,Closes orientation-blind representation only,Oracle proof completion report; hostile audit
