WHestBench Canonical Current State — v25 historical snapshot; superseded by V26 Decision Memo (2026-07-30 18:50 ET),Conclusion,Evidence / environment,Competition meaning
SUPERSEDED SNAPSHOT,This sheet preserves the pre-agent v25 state for provenance.,See V26 Decision Memo and V26 Source Matrix for current decisions.,Do not use the old rank-4/5 or “source missing” priority language.
Protected estimator,"Complete 66,048-row Kerdock/MUB angular cubature with positive-homogeneity radial integration remains the statistical core.",Official full-100 baseline plus exact design audit,Do not change fixed network-independent positive geometry; theorem leaves <=0.0233655% potential improvement in its scope.
Protected compute implementation,"Persistent assembly-free partial-tree/Winograd propagation is the production compute core. Measured official-Mini baseline compute is175.62B. Row0 measured177.84B and score1.1306e-7, but the100-network mean score is1.4737e-7, making row0 30.3% optimistic.",Official/public Mini-100 measurement,"Use full-suite means, never row0, for shipping decisions."
Shipping comparison,"The calibrated compiler advantage does not transfer to the production baseline. two_layer measured1.027957 candidate/base, fixed_three1.042129, and adaptive_2_6 completed at1.11956 with0/100 wins. All tested suffix compilers are closed.",Official/public exposed Mini-100 current package,"Preserve the production estimator. The remaining shipping question is complete subprocess economics among production, A42 and A43."
Best statistical target,The full layer31 oracle remains large. A uniform independent experiment now shows observable radial-Hermite supports can retain most of it with oracle signed anchors: K32 raw0.4030 and80.56% gap capture; K1280.3218 and91.53% capture on24 fresh networks.,Fresh architecture-matched N=24 with independent target and anchor samples,Low-dimensional support capacity is validated; legal signed anchor estimation remains the blocker.
Strongest control-feature ceiling,"Oracle-state rank4 c21 remains mechanism evidence in another control, but the validated radial-Hermite program should not prioritize connected c21: lower-order mean/pair anchors dominate and connected-only is neutral.",Cross-control synthesis,Do not generalize c21 value across control formulations.
Adjoint / joint-scalar implementation,"The exact joint-scalar contract remains infrastructure, but current recurrence/checkpoint implementations are closed. The active target is no longer a broad moment state; it is the frozen K32 lower-order signed anchor, with K128 as a robustness ceiling.",M104–M113,No more recurrence algebra or universal shrinkage sweeps.
Sparse radial-Hermite controls,Direct final-output radial-Hermite control is the preferred scored formulation. In the uniform oracle experiment it tied layer31 replay to within0.0013 ratio while avoiding8.657B extra FLOPs.,M112/M113,Replay is rejected unless a future legal anchor shows a robustness advantage that repays the extra pass.
Sparse center structure,"Rotation/headroom is the remaining safety issue. Hard rotations produced worst2.621–3.083 when the full layer31 oracle itself lacked headroom; conditioned on oracle-helpful pairs, K128 was10/10 with worst0.981.",M113 hard-rotation panel,"A legal estimator needs abstention or shrinkage based on predicted headroom/sign, not more universal alpha tuning."
SOURCE / SIGN BOTTLENECK,,,
Binding quantity,"For M83, mean error <=0.3% is useful, ~0.45% breaks even, and 0.65% is harmful; covariance/c21 perturbations were much more tolerant in that control.",Oracle tolerance curve,Do not optimize tensor RMSE. Judge signed center/source error through complete final-control MSE.
Tested joint-anchor sources,"Complete exact 32-probe anchor scored 0.223995; exact lower-order part 0.633203; connected-only 1.580440. One-basis lower pilot froze at 1.04936 on 16 untouched, fold cross-fit 1.006825, and fixed lower+adjoint joint pilot 1.008463.",Fully reproducible archive audit from hash-matched JSONs; synthetic/full-width branch-specific cohorts,"Lower-order recentering is central, connected-only is harmful, and every tested deployable source family fails. A local rerun of the same designs is unnecessary."
Source localization / compute frontier,"Last 8/16/24 transitions contribute 23.554%/33.79%/82.49% of the signed connected defect. A full recurrence fits the nominal compute cap (10.310B), but its legal candidate was neutral at 1.000775; the inherited legal candidate was 1.014314.",Verified source JSONs + checkpoint cost frontier + compatibility recurrence reconstruction,The localization/cost problem is no longer the only blocker: legal source and inherited-state accuracy also fail. Do not run another ordinary recurrence or suffix rollout.
Partial-MUB coefficient pilots,"Independent pilots show that phase information exists but ordinary trajectories are uneconomic. The new no-extra-trajectory final-gate Stein flux produced only a 1.0021x raw gain and a 0.9866x adjusted gain, with correlation 0.0586.",Frozen 50-network width-256 shared-arithmetic test; 29/50 wins; worst candidate/base 1.0836; 1.5696% arithmetic increment,Close marginal Gaussian Stein/H3 flux as a V80 phase statistic. Any revival must be a genuinely non-marginal cross-output or adjoint-weighted statistic already available from shared arithmetic.
Same-cloud Edgeworth,"Kerdock-derived pre-moments plus noisy Edgeworth mean correction produced candidate/base 12.996, not the predicted ~0.96.",Architecture-matched harness,Same-cloud correction can actively damage the binding mean; do not treat degeneracy as merely neutral.
BRANCH STATUS,,,
Activation-region integration,Closed as a deployable estimator. Direct gate integration failed; residual CV reversed on frozen 24; Walsh/invariant phase models and internal pilots were neutral or negative.,"8 screen, 24 frozen validation, larger learned corpora; protected 64 unopened",Retain only the sparse-coordinate oracle and the adjacent shared-arithmetic companion-design idea.
Stable-gate MLMC,Closed statistically. Pointwise correlation 0.99944 and tiny block residual variance still yielded candidate/base 1.2645 because partial residual allocation destroyed complete-design cancellation.,Architecture-matched sandbox exact-design proxy,Use stable-gate logic only for arithmetic compilation.
Network-specific coreset,"Three distinct exact-geometry synthetic representation families now fail: K2 suffix kernels, adjoint radial-Hermite per-row phase scores, and signed pairwise cancellation-edge scores. Oracle 8,192-row supports remain excellent, but tested deployable scores recover oracle support only at chance and miss same-support oracle-error gates by 197–729x.","Exact 66,048 geometry: K2 N=20; radial row score N=12; pairwise edge score N=12. All width256 synthetic; protected holdouts unopened.",Close K2 and handcrafted independent row/edge scoring as active branches. Keep only a dormant mathematical opening for a near-free set-level scorer that directly predicts whole-support span/conditioning and passes the oracle-support gate before any optimizer.
Equivariant learning,Reduced-width forward/bidirectional/phase-augmented models were near neutral and tail-unsafe; best gain 1.01142 vs 1.03125 replay break-even. A true width256 edge-state DWS was not run.,"Widths32/64, up to 1,024 train + grouped rotations","Narrowed, not universally closed. Permit one bounded width256 experiment only after target basis/independent anchor are frozen."
Harmonic controls,Both broad degree6+ campaign and q8 exact ridge selection failed frozen validation; q8 selection 0.833 froze at 0.995 with worst 1.471.,48-network campaign plus separate N=8 frozen q8,Close standalone harmonic correction; use only as an internal feature under a fresh protocol.
Sampled pilots / ordinary companion designs,"Independent 1,032-point and internal 516-row phase pilots reversed; 2,064 points had <1% optimistic headroom and no decisive CI; 8,256 points was cost-negative.",Frozen N=24 phase study,Close ordinary extra-point pilots. A new companion design must reuse almost all prefix arithmetic.
Joint scalar / transported moments,"The exact 128-scalar contract and adjoint telescope pass all tests. The archived source families, inherited-checkpoint candidate, and full-depth legal recurrence all fail the retention or composed-MSE gates.","Reproducible archive audit + compatibility recurrence N=8; inherited cost 6.744B, full-depth 10.310B",Mark the tested joint-scalar deployment lane closed. Preserve the exact interface as infrastructure and the exact-checkpoint + candidate-source 0.526 near-miss as evidence that absolute checkpoint accuracy is the remaining enabling quantity.
Exact quadratic control,Earlier 4–7% lead reversed to candidate/base 1.0188 on 12 fresh networks.,Fresh frozen N=12,Closed.
GOVERNANCE / EVIDENCE,,,
Evidence hierarchy,Official paired grader > rigorous scoped identity > frozen full-width holdout > architecture-matched synthetic > oracle mechanism > infrastructure. Small sandbox tests may kill an exact implementation but not a broad class.,Cross-report reconciliation,"Always record environment, width, geometry, N, target quality, ratio convention, compute, tails, and protected-holdout use."
Contamination,"Global IDs 0–199 are exposed. The V73 64 holdout is oracle-mechanism history, not deployable confirmation. Several named sandbox blocks are branch-specific and require overlap checks.",Split audit,Generate new immutable validation/holdout blocks before sparse/learned claims.
Data integrity,A resume bug left three equivariant rows with weights but zero targets; they were regenerated before reported comparisons.,Training pipeline audit,Completion checks must validate every label component and hash manifests.
Near-term priorities,"1) certify the recreated exact Mini harness on the local raw parquet checkout; 2) run the frozen seven-arm local official suite; 3) ship the measured production/A42/A43 winner and calibrate delta64; 4) audit the legal compute gap; 5) formalize the Kerdock certificate, layer31 correction necessary conditions and signed-weight scope; 6) write the algorithmic-contribution article; 7) permit one layer31 experiment only for qualitatively new independent absolute-center information.",A39 completed compiler closure; A46 persistence; A47 instrumentation; A48 basis economics,The active program is implementation certification and proof/publication. Broad statistical search is closed; layer31 is a narrow dormant hedge.
Shared-arithmetic external phase,The frozen final-gate Stein flux marginal statistic slightly improved raw MSE but was score-negative after its 1.57% arithmetic increment.,"50 untouched width256 synthetic networks: raw gain 1.002085x; adjusted gain 0.986599x; adjusted candidate/base interval approximately [1.0025,1.0231]; sign accuracy 30/50; correction cosine 0.0655.",Close this exact marginal flux family. It is useful only as evidence that weak phase suppression can prevent V80 damage; it does not provide a score-positive signed estimator.
Target-free layer31 support,"Closed for the four tested selector families. Basis-PCA×sensitivity and sparse-Hermite×sensitivity selected nearly the same coordinates across rotations, but their captured oracle-gap fraction fell from 53.2%/51.1% to 38.9%/36.5%. The failure is rotation-dependent effectiveness, not coordinate instability.",Sandbox width256 N=8; rotations 3/19; high-reference exact amplitudes; 8/8 wins but gate failed,Do not run Stage B on these supports. Reopen only with a genuinely rotation-aware mode/subspace representation or a direct-output learned target.
Fresh direct-output oracle validation,"M109/M110 converts the prior eight-network0.109 claim into a fresh-cohort result: conservative0.4271 with24/24 wins and safe observed tails; noise-corrected0.1475. Lower-order-only slightly outperforms the complete anchor, while the connected term is neutral.",Synthetic width256 N=24; high-reference halves; IDs1000–1023 now exposed; preliminary same-stream result quarantined,"Treat as a validated oracle ceiling, not a runtime candidate. The deployment branch is now only legal estimation of the 128 lower-order mean/pair-moment contractions."
Workbook integrity repair,"Restored A23–A33, V65, T23 and T24 into the exhaustive Experiment Ledger; repaired the A25 collision by assigning the fixed-three specification to A29/A31; replaced stale row counters and duplicate KPI labels.",Cross-checked against earlier canonical CSV/XLSX artifacts,The workbook is again usable as the authoritative shipping and experiment specification.
Path 6 primary implementation,"A43 fused 512-row full-depth streaming is the primary frozen package. It preserves all 66,048 rows and every matrix product while caching right transforms and eliminating one output block materialization per layer.",Full exact-shape local pair: 63.995s -> 25.702s; peak RSS 2.172GiB -> 0.375GiB; projected tracked FLOPs 170.382691584B; RMS final-mean drift 3.42e-12.,Measure only in the official final subprocess before shipping; no protected-score claim yet.
Path 6 fallback,A42 cached-right stream512 retains the full output assembly and has projected tracked FLOPs equal to the production baseline.,"Full exact-shape local pair: 28.011s, peak RSS 0.375GiB, bit-identical to A43 locally.",Use only if A43's official residual overhead exceeds its 5.241ms effective-compute margin.
Path 6 closed ablations,"Standalone terminal reduction, float32 reduction, mutable preallocation, and primary on-demand basis propagation are closed in their tested forms.",Pinned FlopScope v0.9.1 requires immutable functional arrays; group1 basis streaming lowers memory but is materially slower.,Do not reopen without a legal functional kernel or a subprocess-measured effective-compute argument.
LATE CONTINUATION SYNTHESIS,,,
Exact-K32 scale,"Conservative positive scaling is now solved at the oracle-direction level. Fixed alpha0.50 passed canonical, hard-rotation and immutable fresh panels; unrestricted learned scaling remains tail-unsafe.",M114–M116; fresh12×3 holdout,Use alpha0.50 as the default diagnostic/deployment scale once a legal direction exists. Do not reopen sign reversal as the main exact-K32 concern.
Active external object,"The lower-only runtime contract is now frozen: 128 primary-cloud diagonal moments s_p,128 primary row-direction moments t_p, and only256 external center contractions (128 d_i,128 v_p^T d). Independent pair estimates change the24-network result by about1e-5.","M121,M130",Do not estimate a full covariance or propagate an independent cloud for pair moments. All statistical work targets the selected center contractions.
Former partial-MUB lead,"The earlier 112+17 partial-MUB average-economics signal did not survive immutable safety transfer. Paired safety, block selection, orientation codebooks and nested convergence are all closed.",M127–M135,"Retain only oracle/diagnostic arrays. There is no active selector, paired gate or companion-safety child."
Absolute-center observability barrier,The large layer-31 repair channel is now known to be multi-component: authenticated checkpoint increments are weakly correlated rather than one accumulating scalar bias. T42 gives the exact downstream-weighted conditional normal equation and T43 supplies quantitative class-restricted phase ceilings. No actual WHestBench transcript symmetry or small KL/TV bound is yet proved.,M160–M162; T42–T43,"Current feature classes remain closed, but the mathematical next step is a declared transcript certificate, not another generic learner or a universal impossibility claim."
Micro-cubature,The exact rank32 width256 continuation failed even with oracle center; ranks32–80 plateaued near0.73–0.77 with unsafe tails.,M122,Close absolute h24/depth8 micro-cubature. Reuse only QMC/factor machinery for a small residual after a successful analytic anchor.
Learned center and phase,"Large equivariant, weight-only, basis-flux and gain/abstention studies failed absolute precision and tails despite strong oracle subspaces.","M117–M118,M123–M124",No broad learning program. A tiny residual/gate model may reopen only around a frozen legal anchor already below0.75.
PAPER / PROOF AUDIT SYNTHESIS,,,
Official / shipping position,The protected estimator remains complete 129-basis Kerdock. No latest Markdown report produced a new submission candidate. Production/A42/A43 plus delta64 and the partial-basis instrumentation are frozen in the seven-arm local official-subprocess suite.,"A47,A48; ReopenedPaths final report",Run the suite once and submit only the measured production/A42/A43 winner. Do not infer official performance from local tracked counts alone.
Winning update,"Four reopened paths were tested: downstream anchor rescoring, Poisson controls, projected exact-mean ReLU controls and outside-Kerdock signed probes. Their canonical deployable results are respectively tail-unsafe 0.852, terminal 1.038, extended 1.013 raw/1.067 adjusted, and global 1.557 despite a 0.131 oracle.",M155–M158,The competition search is more decisively closed in these classes. Current position needs ~4.34x adjusted improvement; none is close.
T22/T23 theorem release,"T22 remains a one-sided computer-assisted certificate: true Kerdock excess is in [0,0.02336550102949%] in the static nonnegative limiting-kernel class. T31 hardens v5.1 with exact MUB construction, 32 canonical outputs, 23 chunks, 59 manifest entries and stale-v4 quarantine.","T22,T23,T31","Publication-ready after external digest anchoring, CI/full clean regeneration and named human sign-off. No finite-width/adaptive/nonlinear extrapolation."
T30 all-degree auxiliary theorem,The degree-five Hermite auxiliary is now the unique optimizer of the unrestricted all-degree admissible auxiliary LP. This tightens the auxiliary comparison to 0.023324172950039%.,"T16,T30","Major proof gain. It closes higher certificate degree, not the remaining gap to the true cubature optimum."
Static structural extensions,T29 proves uniform mass-one fixed weights are optimal on complete Kerdock support at every width. T27 solves arbitrary real weights inside the fixed Kerdock-line universe. T37 generalizes complete-basis concentration under explicit association-value sign conditions.,"T27,T29,T37",Fixed complete-support reweighting and Kerdock-line deletion/signed schemes are exhausted in their exact scopes.
Information boundary,T33 gives score-space conditional-projection value. T42 gives the more general layer-space downstream-weighted conditional normal equation and explains when E[A|G] is valid. T39/T43 convert exact or approximate discarded symmetries and phase-information limits into class-specific ceilings. T32 still invalidates universal Gaussian Bayes/no-adaptation rhetoric.,"T28,T32,T33,T39,T42,T43",Use a two-boundary story: certified geometry plus declared-class information value. A failed learner is not an information upper bound.
