claim,blueprint_status,final_status,scope,reason,required_paper_action
C1,PROVEN-ROUTE,PROVED-ROUTE_SCOPED,"infinity and finite width, local linearization","Telescoping is valid with a crossing remainder but does not establish an irreducible per-layer floor or noncancellation.",Keep as decomposition lemma; remove impossibility consequence.
C2,PROVEN-ROUTE,VERIFIED_AFTER_CORRECTIONS,"fixed linear mass-one weights on complete Kerdock support, every width","Zonal second moment, constant z, and constant Gram row sums imply risk difference v^T G v. Prior mean zero is unnecessary; uniqueness needs positive definiteness; free mass gives alpha-scaled uniform.",State corrected theorem and alpha corollary.
C3,PROVEN-ROUTE,FALSE_FOR_ACTUAL_OUTPUT,"claimed infinite-width S1","Actual package applies final ReLU. ReLU of a nondegenerate GP is not a Gaussian random element, so Gaussian posterior-linearity does not follow. Explicit nonlinear ReLU ridge counterexample.",Remove Bayes-optimality and zero-alignment theorem.
C4,PROVEN-ROUTE,NOT_APPLICABLE,"claimed infinite-width adaptive point evaluation","Classical theorem requires a Gaussian measure and linear problem; actual post-ReLU field law is non-Gaussian. Point-evaluation restriction also needs care.",Remove no-adaptation conclusion or explicitly change model/output.
C5,DONE,DONE_SCOPED,"infinite-width d256 depth32, fixed network-independent nonnegative linear rules","T22/T23 certificate verified in existing audits.",Keep with full exclusions.
C6_scale,PROVEN-ROUTE,PROVED,"bias-free positive-homogeneous suffix, every width","Exact homogeneity; 12-network diagnostic max discrepancy 2.25e-7 in float32.",Keep exact theorem.
C6_center,PROVEN-ROUTE+TEST,EMPIRICAL_OPEN,"tested center/random/shape directions","One-network diagnostic found max gain 1.055 but cannot establish uniform contraction.",Report diagnostic only.
C7,CONDITIONAL,OPEN_CONDITIONAL,"finite-width oracle-depth attribution","Archived ladder is nonmonotone early and requested coherence matrix is unavailable. Signed shares do not determine MSE ceiling without cross-terms.",Do not publish universal prefix ceiling.
C8,CONDITIONAL,INVALID,"claimed S2 all legal estimators","Depends on invalid C3/C4 plus unproved finite-width injection floors and noncancellation.",Remove observability-gap theorem.
C9,ASSUMPTION+TEST,DEFINITION_VALID_BOUND_INVALID,"S2 exploitability","Failure of finite learners cannot upper-bound supremum over all measurable S2 corrections. O(L/n) finite-width covariance correction is not total exploitability.",Replace gamma with class-indexed empirical gamma_F and lower bounds only.
C10,EXCLUDED,DOCUMENTED_EMPIRICAL_EXCLUSION,"weights-only analytic S3","No universal theorem claimed; negative experiments remain evidence.",Keep as scoped empirical map.
C11,OPEN,CERTIFIED_BUT_WEAK,"off-support signed rules, infinite-width","M certified at 0.017021894267861247 but required negative mass for large gains is tiny; bound is practically vacuous.",Publish rigorous curve and honest weakness.
