WHestBench Canonical Research Portfolio — reconciled v31 final local audit,,,,,,,,Portfolio KPI,Value
Policy: broad closure requires matched evidence. Sandbox/synthetic negatives close only the exact tested implementation unless supported by a theorem or replicated local full-width evidence.,,,,,,,,Experiment ledger rows,521
Branch,Canonical status,Best current evidence,Environment / scale,Closure confidence,Potential upside,Next decisive action,,Evidence registry rows,206
Shipping closeout,Production 129-basis baseline retained; no new statistical candidate,"90,624-row multifidelity is adjusted-score negative; claimed112-basis insurance is not validated by repeated official-like timing.",Official-like exposed scoring plus frozen historical packages,High,Only operational reliability,Benchmark packaged runtime distribution; do not open protected data.,,Production baseline status,Retain production pending official run
Compact joint-state propagation,General heteroscedastic mixture program mostly closed; one tied/shared-covariance exception,"K1536 representation reaches reported delta1.781e-3, but exact/Taylor/low-rank evaluation fail. Tied/shared-correlation recurrence not independently isolated.",Local full-width oracle diagnostics and analytic cost audits; independent regeneration pending,Moderate local confidence / low remaining candidate confidence,Winning only if special shared structure escapes evaluation squeeze,"Reproduce, run one exact tied test, then close or roll out.",,Closed deployable branch,v17 closeout
Adaptive direct-output source,Source theorem retained; declared linear checkpoint estimator class closed,"Target-free rank34–38 source r*=0.0748607, but T86/T87 selected, late, dense, ONB and all-layer linear programs fail decisively.",36 grouped full-width cases plus exact/empirical dual audits,High in stated scopes,Only nonlinear exact late-innovation escape,No more gauge tuning or generic phase learning; reopen only with a derived nonlinear/biased identity.,,Frozen runtime contract,256 primary pair +256 external center scalars
Conic A90 master,Secondary provisional / dormant,A30⊂A90 at same rays and12-case r*=0.02292; no full48/tail/physical covariance completion located.,Exact inclusion + exposed oracle diagnostic,High theorem / low competition confidence,Potential oracle headroom,At most one full48 no-fit covariance/economics audit.,,Dormant / exceptional lanes,4
Independent anchor / phase,Tested orientation classes closed; full contraction identity open,"A50's full K32 oracle remains0.425, but the rank4 canonical orientation and all grouped odd/even policies fail. M165–M167 show cross-cumulant signal without final correction value. A51 isolates the full128 center-contraction interface.",Authenticated archived arrays plus fresh/frozen width-256 cohorts,High against tested representations,Large oracle only; new representations remain open,No more generic phase learning. Reopen only with an explicit full-contraction observable or identity.,,Hedge only,No active child
Paired replacement / external phase,Closed tested safety mechanisms; one narrow post-hoc falsifier unresolved,"Immutable paired-safety and selector descendants failed. M163's exchangeable frontier is score-negative on frozen confirmation moments, but M164's post-hoc 24-basis/rank-24 candidate has not received untouched validation.",Fresh grouped studies plus one exposed eight-network screen,High against tested families / low evidence for M164,"Only a contradiction check, not a candidate","Freeze and test M164 once; otherwise no more paired gates, scaling sweeps or blanket pilot-impossibility claims.",,,
Learned residual / scalar models,Closed tested forms; evidence cleaned,M153 grouped T4 features have negative OOF predictability. M152 is removed; M76/M145 numerical claims are downgraded to qualitative history.,Grouped fresh development plus historical incomplete artifacts,High for tested dictionary / low for missing claims,Unknown for new information classes,No broad learning. Recover original evidence only; do not rebuild claims ad hoc.,,,
Network-specific coresets,Path closed; oracle assets retained,"Compact codebook covered96/96 validation rotations under oracle identity/weights, but selector43/96 and frozen weights0/96. Joint selection/calibration is not observable with tested legal features.",128-train/32-validation exact geometry,High,None deployable,No further Path5 resources absent a fundamentally new observable.,,,
Activation-region / phase statistics,Closed tested forms; sparse finding retained,Conditional residual CV froze candidate/base1.0112; basis/invariant models≈1.000,Sandbox N=8/24 + larger corpus,Moderate-high for tested family,Low,No more orthant/gate tuning; preserve companion-design reopening gate,,,
Arithmetic and implementation,Deployment closeout only,Same-row arithmetic and compilers are closed. No new Markdown changed the shipping package; seven-arm local instrumentation remains pending.,Frozen official-shape packages,High,Small shipping-only gain,Grade once; no further arithmetic research.,,Top priority,Seven-arm suite
Stable-gate MLMC,Closed tested form,Candidate/base1.2645 despite0.99944 surrogate correlation,Sandbox exact-design proxy,Moderate,Low,Compiler arithmetic only,,,
Exact harmonic controls,Closed standalone,"Broad frozen1.00444; q8 frozen0.995,worst1.471",Full-width/synthetic frozen studies,Moderate-high,Small,Internal feature only under new anchor objective,,,
Same-cloud Edgeworth,Closed high confidence for tested construction,Candidate/base12.996; binding mean actively damaged,Architecture-matched harness,High,None,External absolute center only,,,
Static geometric boundary,T22/T29/T30/T27/T37 complete in complementary scopes,T22 one-sided nonnegative bound; T30 unique all-degree auxiliary; T29 all-width complete-support fixed weights; T27 fixed-line real weights; T37 general sign-condition support theorem.,Computer-assisted and exact proofs,High in stated scopes,High publication value,"Human audit, canonical release and scope matrix.",,,
Evidence governance,Active canonical quarantine,Stale T22 v4 hashes quarantined; M146 provisional; M152 removed; M76/M145 exact numbers downgraded; public accounting unaudited absent dedicated trace.,Cross-agent source audit,High,Indirect but essential,Apply master claim register to manuscript and release.,,,
Reopened nonlinear/adaptive campaign,All four tested forms closed,Archived rescoring 0.852 but unsafe; Poisson terminal 1.038; projected ReLU extension 1.013 raw/1.067 adjusted; signed global 1.557 despite 0.131 oracle.,68 synthetic full-width networks plus exposed archives,High for tested forms,None winning-scale,Preserve tooling and oracle arrays only; no composition.,,,
Proof and algorithmic contribution,Static and finite-width proof corpus strengthened; constructive frontier consolidated,T74 static signed near-optimality; T88 exact width256 tensor-degree floor; T86/T87 checkpoint class closure; analytic moment transport now the sole score-moving program.,Exact/computer-assisted proofs plus frozen empirical certificates,High in stated scopes,Highest research/publication value,Publish two-boundary theory and keep degree62 separate from candidate construction.,,Primary non-shipping output,Two-boundary plus realizability article
Final competition descendants,Executable unchanged; tested statistical descendants closed; proof-first program active,M164/A50/Edgeworth/nonlinear aggregation/K<=32 supports fail; global coefficient beats flexible model.,Fresh grouped and authenticated archived evidence,High for tested forms,No deployable candidate,Hard stop on generic descendants; allow only identity-level and theorem-derived paths.,,Research status,Proof-first active
Proof release closeout,Local packages complete; T57 external reproduction pending,"Existing dual-engine releases plus Prompt1, Prompt4 and RemainingQuestions certificate bundles.",Full theorem certificates and manifests,High inside stated scopes,Publication value,"Independent Arb/FLINT reproduction, cross-OS CI, signed digest and named human review.",,Proof status,Internally verified / external gate
Publication artifacts,Assembled; canonical v23 patch required,"Theorem manuscript, falsification article, review packet, reproducibility bundles and v23 ledger with the exact contracted-source continuation.",Canonical claim/evidence register plus latest packages,High with stated verification caveats,High contribution value,Use canonical v23; integrate T61-T73 and corrected T56; obtain named review.,,Paper status,v21 patch required
Competition frontier,No deployable improvement; shipped baseline officially validated,129-basis score1.4641716e-7 with0/100 failures. Broad mixture evaluation mostly closed; root estimator broken. One shared-covariance exception and one exact boundary identity remain.,V31 final-local reconciliation,High shipping confidence / moderate research-closure confidence pending reproduction,Unknown upside from rare class escape; modest tail opportunity,Independent reproduction -> tied M192 exception -> M194; cheap M189/M193.,,Frontier status,Gate A passed / Gates B-C open
Strongest static signed theorem,Static equal-cost route decisively closed,T74 floor0.9370605226 R_K; same-cost cap1.067166929x; T75 free-mass floor0.9370603033.,"Exact inertia theorem, rational witnesses and stored order320 coefficient endpoints",High in declared scope / external endpoint regeneration pending,Publication value,Independent Arb/FLINT reproduction and human audit; use T74 as headline.,,Static signed floor,0.9370459569
Realizability and finite-width proof frontier,Active proof programs,T61-T64 classify abstract/atomic separation; T76 supplies exact finite-width moment dual; T66 forbids monotonicity.,Exact theorems and open numerical inputs,High target definition / open quantitative result,High proof value,Run low-degree sphere-ideal pilot and width256 degree62 moment certificate.,,Same-cost signed gain cap,1.067183517x
