WHestBench Non-Overlap Mathematical Frontier — v25,,,,,,,
"Posterior innovation, CLAF capacity gate, and explicit division of active agent ownership",,,,,,,
,,,,,,,
Rank,Branch,Owner / status,New result,Decisive gate,Do not duplicate,Evidence,Next action
1,CLAF physical source span,Unowned decisive screen,T80 exact final-output Gram projection ceiling,Union-span residual <=0.00502,Fan implementation or coefficient fitting before span,T80; preregistration,Run once on exposed arrays
2,Matched posterior innovation scalar,New T79 path,99.9694% cross-chaos; global sector99.6666% of cross energy,Exact/shared-arithmetic legal scalar with physical alignment,Ordinary independent pilots; generic learners,T79; decomposition JSON,Map to lower-order K32/K128 anchors
3,Infinite Hermite factor,Agent1 owned,Conditional95.46% factor frontier; all-degree sign lemma open,Frozen tail lemma/certificate,More finite-cutoff searches,Parallel Prompt1 package,Hostile review after freeze
4,Width256 signed transfer,Agent2 owned,Parity-resolved moment dual / degree62 pilot,Rigorous actual-width coefficient intervals,Generic convergence or duplicate pilot,Parallel finite-width package,Hostile review after freeze
5,Static signed realizability,Scoped parallel proof,Rank/block/inertia mostly exhausted,Explicit sphere-ideal epsilon beyond T74,More witness tuning,T61-T78,Only new atomic constraints
6,Ordinary recurrences,Closed,Checkpoint/source candidates neutral or harmful,Materially new identity only,"Reruns, shrinkage, larger learner",M107 and centered report,Stop
,,,,,,,
Metric,Value,Meaning,Status,,Mandatory CLAF screen,Threshold,Decision
Cross-chaos fraction,0.9996939848092931,Fraction of fixed-support second-chaos posterior tensor residual,T79,,Union physical span residual,0.00502,Pass only below threshold
Pure hidden fraction,0.00030601519070694853,Irreducible quadratic component before matched query,T79,,Coefficient condition number,Report full spectrum,No unstable promotion
Global share of cross norm,0.9966664508387263,One fixed association sector dominates,T79,,Every required group,Must pass,No pooled-only rescue
Ideal residual / Kerdock,0.0011746500869848483,Upper bound after global matched scalar,T79,,Protected data,Unopened,Hard gate
Naive samples for 0.5% MSE,18259550.69471803,Independent posterior-residual samples,Reject pilots,,,,
64-ray plane capture,6.396857329766202e-05,Dominant score energy captured in diagnostic,M172,,,,
