Opposite results / tension,Synthesis,Best future experiment,Hard gate,Evidence caution
Oracle support nearly exact vs deployable coreset fails 11.7x gate,Coreset existence is not the issue; observable row-importance representation is.,"Before optimization, regress/measure a cheap proxy against oracle row importance/support recall on fresh networks.",Proxy must predict support with same-support oracle added MSE <=1.1e-8 and safe worst case before any solver sweep.,Exact geometry but synthetic N=20; broad class remains open only qualitatively.
Layer31 oracle huge vs every phase predictor near zero,Coordinates and downstream map are accessible; signed absolute defect is missing.,Independently centered target-contracted source estimator or companion cubature; evaluate signed coefficient cosine and final replay.,">=1.3x raw on frozen validation, positive cosine, safe tails, positive adjusted score.",Do not confuse activation-distribution accuracy with cubature-phase accuracy.
Partial-MUB sign improves with sample size vs adjusted score collapses,"Independent samples contain the sign, but ordinary trajectories cost too much.",Shared-arithmetic companion rule reusing first31 layers / basis transforms; target only8–16 coefficients.,"True incremental compute<=1–2%, raw gain>=1.10 or strong sparse-control composition.","N=8 scaling is suggestive, not a validation claim."
Oracle rank4 c21/M85 gains vs factorized/source closure failures,Control features are useful; anchor approximation is the sole bottleneck.,Freeze features/regression and compare independent center/source estimators with oracle/deployable ablations.,Retain>=70–90% oracle-control gain under<10–14B and safe worst network.,Do not reopen feature searches before anchor test.
Adjoint factorized handoff exact/cheap vs 31% oracle gap,Backward contraction solved the wrong target accurately; factorized closure omits real source.,Measure signed layerwise oracle source decomposition and design only target-contracted local source corrections.,Real source model must reduce factorized-to-oracle gap materially and improve complete-control MSE.,Factorized-anchor accuracy is not oracle-anchor accuracy.
Shared center map toy rank6 vs width256 proxy rank128,Shared does not imply compressible; real rank may be high.,"Recover frozen probes and compute real B singular spectrum, downstream weighting and layer31 overlap.",Proceed to rank<=16 predictor only if >=90% relevant energy retained.,Toy algebra is not empirical ARC evidence.
Stable-gate surrogate correlation0.99944 vs MLMC 26.5% worse,Pointwise/R² and i.i.d. block variance ignore deterministic global Kerdock cancellation.,Any multilevel estimator must preserve complete designs as units or use algebraically zero-mean corrections.,No arbitrary partial-basis allocation; full coupled MSE must improve after cost.,High correlation is a misleading surrogate metric.
Degree6 is first live harmonic vs harmonic controls fail,First live does not mean dominant or observable; ensemble degree6 ceiling only~13.9%.,Use degree6 only as an exact-zero-mean internal feature for an independently anchored late control.,No standalone revival without >=5% adjusted frozen gain and safe tails.,Two separate frozen failures exist.
Mean-field bias learnable vs Kerdock phase not learnable,Smooth closure error is predictable; orientation-sensitive high-degree phase is not with tested features.,"Predict residual coefficients of an independent analytic/micro-cubature anchor, not raw Kerdock residual.","Width256 grouped CV gain>=1.10, lower CI>=1.05, tails controlled.",Reduced-width negatives narrow but do not universally close DWS.
Oracle x1/x1a recursive gains vs PSD clipping destroys them,The useful correction may live in contracted outputs even when no coherent full covariance state exists.,Propagate only adjoint-weighted contractions or learn a valid factorized state intrinsically; avoid post-hoc clipping.,Complete estimator must retain gain without repeated repairs.,Oracle features and invalid state are mechanism evidence only.
Same-cloud Edgeworth expected near-neutral vs observed12.996,"Same-cloud corrections can actively corrupt the binding mean, not just telescope.",Use external absolute center and test mean-only ablation before any cubic correction.,"Mean error<0.3%, break-even<0.45%, complete-control tail safe.",Predictions from tensor accuracy were wrong; rely on measured final MSE.
Small screens produce large leads vs frozen reversals,Network heterogeneity and target noise dominate many sub-5% effects.,"Immutable 8/24/64+ stages, network bootstrap, reference-noise correction and no holdout reuse.",Major path>=1.3x screen; cheap additive>=5% adjusted with CI and tail gates.,Small synthetic evidence can kill exact code paths but should not close broad classes.
Per-row and pairwise scores correlate with importance/complementarity vs oracle-support recall remains chance,The support objective is a global signed span/conditioning problem. Independent node or edge scores are not sufficient statistics even when their local correlations are real.,"Do not build another handcrafted score. Only test a set-level scorer trained or derived to predict same-support oracle-weight error directly, ideally from already-computed live-branch features.","Before optimization: fresh exact-geometry same-support oracle added MSE <=1.1e-8 on every or nearly every network, safe tail, and complete selection cost below saved propagation.","N=12+12 synthetic exact geometry strongly closes these representations, but does not prove that no set-level network-specific coreset representation exists."
Terminal rank4 captures96.65% vs source spans~19 layers,"Output geometry is compressible, but the absolute scalar value accumulates diffusely through depth. Low terminal rank does not imply suffix-local source generation.",Only test full-depth shared recurrences or absolute inherited checkpoints; do not infer a cheap suffix from terminal rank.,"Retain>=70% exact-anchor improvement below14B; ordinary 4,096-row companions already have no feasible intersection.","Source fractions are archived synthetic/full-width branch evidence, not official holdout performance."
