WHestBench V29 Integration Map — complete late-agent synthesis,,,,,,,,
,,,,,,,,
Branch,Proved/observed,Open empirical question,Status,Feeds,Next gate,Kill condition,IDs,Role
Tied latent mixture,Exact PSD/global-moment recurrence; one full covariance transform/layer.,Can K<=64 represent copula defect and survive projection?,PRIMARY,Full rollout,M192->M188,K64 >0.5% or legal rollout/cost failure,"T98,M192,M188",Candidate state
Conditional covariance dependence,Fourth-order/covariance mixing mechanism mathematically plausible.,Does full/low-rank covariance beat tied enough to justify cost?,ESCALATION,Primary state,M192 families B/C,Only uncompressible full K>16 passes,"T92,M187,M192",Higher-rank non-Gaussianity
Weighted sign–magnitude attribution,Exact absolute-kernel identities; pairwise state nonclosed.,Which term drives downstream error?,MECHANISM,M192 loss/model,M187,Residual not aligned/compressible,"T89,T90,M187",Diagnose state
Characteristic functions,Exact local integration; finite selected CF recurrence impossible.,Can spectral basis efficiently encode latent law?,ABSORBED,Latent mixture / M190,No separate gate,Standalone closure fails,T97,Representation tool
Compositional chaos,Exact directional transfer; coordinate PCE closed.,Are environment ranks low and legally oriented?,SECONDARY,Mixture/direct harmonic engine,M190,High rank or legal/oracle gap,"T95,T96,M190",Compute engine
Kerdock QTT,16-bit tensorization; nonlinear Walsh support nearly dense.,Mean-relevant QTT rank/common pivots?,BOUNDED,Direct compute compression,M189,Rank>16/pivot union too large,"T94,M189",Low-probability hedge
Activation fan,Facet-current identity; exact map merging generically absent.,Low output-weighted normal rank and late current localization?,BOUNDED,Boundary identity,M193,Normal rank/currents fail,"T99,M193",Low-probability geometry
Late nonlinear phase,Finite transcript blind spot; boundary-Stein identifies ancestor term.,One algebraic cubic weight-boundary kernel has signed value?,ONE SHOT,Direct-output source,M194,No grouped positive covariance,"T100,T101,M194",Identity hedge
Full-weight learning,Target deterministic in exact quotient; past learning far short.,Can bounded QERNO reach >0.84 source R2?,DEFERRED,Later residual,M195,Learning curve upper bound far below gate,"T102,M195",Scientific falsifier
Automated nonlinear search,Stable wrappers collapse to linear class; cosine gate exact.,Any theorem-derived phase/boundary primitive?,CLOSED BROAD,M194 or analytic state,Proof-carrying only,No new primitive,T103,Search governance
Static/sampling/linear gauge,Existing theorem and empirical closures unchanged.,None competition-relevant.,CLOSED,Proof papers,Degree62 separate,N/A,"T74,T86-T88,M178-M181",Box exited
Protected evaluation,No full legal candidate.,Score/tails/cost after M188.,SEALED,Candidate only,Immutable package,Any oracle/refit/cost leak,M196,Governance
