claim_id,short_name,public_claim,evidence_type,scope,primary_sources,reproduction_status,approved_wording,overclaim_to_avoid
C01,Benchmark task,"Given weights of random ReLU MLPs and a strict FLOP budget, estimate post-ReLU activation means under standard Gaussian inputs.",Public benchmark definition,Current official public sources,ARC announcement; aicrowd/arc-whestbench-public-2026,Web verified,Safe as written,Do not conflate with ARC-AGI
C02,Reported shipping result,"The 129-basis package reportedly achieved adjusted 1.4641716e-7, raw 2.2819432e-7, multiplier 0.6427, 0/100 failures on exposed Mini-100.",Reported official exposed run,Exposed Mini-100 only,Pasted text(68).txt; v31 current state; Prompt 1 audit,Not independently reproduced; JSON/package/hash missing,Use “reported” in every occurrence,Do not call protected or independently certified
C03,Static signed floor,"Static network-independent mass-one signed rules with <=66,048 nodes retain >=0.9370605226 of Kerdock limiting-kernel risk.",Computer-assisted theorem,"d=256, depth-32 limiting K32 kernel; frozen interval stack",T70/T73/T75; WHestBench_Math_Continuation_v23_20260730.md,Exact rational witness replay; inherited interval endpoints await independent audit,State conditionally on certified intervals,"Do not extend to finite width, adaptivity, nonlinear aggregation"
C04,Static gain cap,Same-cost gain in the stated static class is <=1.067166929x.,Arithmetic corollary,Same as C03,T70 mathematical frontier,Checked arithmetic,Safe with adjacent scope,Do not say all cubature is near-optimal
C05,Free-mass loophole,Allowing total mass to vary changes the floor negligibly; minimizing mass is near one.,Computer-assisted scoped result,"Same static limiting class, arbitrary total mass",T71 / Math Continuation v23,Exact branch theorem plus inherited intervals,Appendix claim,Do not generalize to biased adaptive estimators
C06,Sign-count hierarchy,"At least 1,072 negative nodes caps gain below 1.05x; at least 4,160 is certified worse than Kerdock.",Exact spectral theorem plus rational certificates,Mass-one static signed rules,T75_SIGN_COUNT_INERTIA_HIERARCHY.md,Rational replay; kernel intervals inherited,Safe with interval caveat,Does not construct the sparse-negativity optimum
C07,Complete-block variance identity,"For known-mean anchor g and R complete blocks, variance is Var_b[Q_b(f-g)]/R.",Exact identity,Independent sampled complete blocks; known anchor expectation,T104; v31 ledger,Self-contained proof,Main theorem/proposition,Do not replace with rowwise residual variance
C08,Pointwise/blockwise reversal,Rank-128 diagnostic changed from 0.597 pointwise to 0.949 blockwise.,Local empirical result,Archived local cohort and definitions,Pasted text(67).txt; T104,Raw arrays/script not recovered in Prompt 1 audit,Label archived reported result,Do not generalize to every rank control
C09,Smoothed residual mechanism,Reported complete-block residual ratio is about 0.0392 at alpha=0.2.,Positive mechanism experiment,Tested smoothed-network anchor family,M198; v30 current state,Not independently reproduced,"Use as mechanism, not estimator result",Do not call it a 25x score gain
C10,Matched-cost hybrid failure,Tested smoothed hybrids were about 2–2.7x worse than direct at matched two-trajectory cost.,Local empirical result,Tested alpha and block budgets,M199; v30 current state,Not independently reproduced,Pair with C09,Do not claim all control variates fail
C11,Analytic-anchor incompatibility,"Within the tested smoothing family, useful residual reduction and accurate analytic closure did not overlap.",Scoped empirical synthesis,Tested smoothing parameters and Gaussian closure,M198-M200,Not independently reproduced,Family-specific wording,Do not say no analytic high-degree anchor exists
C12,Same-row moment hybrid,Fourth-order closure improved marginal approximation but retained roughly direct sampling variance and lost after full cost.,Local empirical result,Sampled moments derived from same rows,M197,Not independently reproduced,Secondary empirical finding,Do not claim moment methods never help
C13,Degree-10 ceiling,Perfectly removing degrees 6–10 yields at most about 1.58x zero-cost gain under the measured spectrum.,Scoped bound using measured spectrum,Standalone low-band interpretation,T105; M190,Spectrum measurement archived; arithmetic straightforward,Appendix/theory context,Does not close environment-weighted contractions
C14,Heteroscedastic mixture representation,A K=1536 oracle mixture was reported at closure error about 1.781e-3.,Reported oracle representation,Local fitted heteroscedastic mixture,M207; v31 current state,Not independently reproduced; scripts/arrays missing,Use “reported” and “oracle”,Not a legal estimator
C15,Exact mixture economics,Exact componentwise evaluator costs about 8.68e7 operations per component and caps affordable K near 100.,Cost arithmetic / projection,Reported evaluator and benchmark budget,M207; Prompt 1 audit,"Arithmetic checked, full implementation absent",Use “projected/reported cost”,Not an information-theoretic lower bound
C16,Taylor recentering,Pooled-within recentering reduced covariance offsets but did not improve second-order error.,Reported local experiment,"K=64, layers 16 and 29",M205; Prompt 1 audit,Not independently reproduced,Supports mean-spread interpretation,Do not say mean dominance proved
C17,Low-rank Hermite squeeze,"Only r=128 cleared the local gate; at n=256, 2n^2r=n^3.",Reported experiment plus exact arithmetic,Tested direct/Hermite factorization,M206; Prompt 1 audit,Rank data not reproduced; arithmetic checked,Close tested route,Not a universal diagonal-computation lower bound
C18,Tied-covariance recurrence,"A tied Gaussian mixture preserves the mean/covariance of its approximate law and PSD, but differing means require component-specific noncentral pair moments.",Exact derivation,Positive tied-covariance mixture,Prompt 2 M192 report,Derivation complete; no empirical rollout,Theorem/technical appendix,Do not imply post-ReLU covariance is shared
C19,Tied-state cost,"K=64,n=256,L=31 requires 64,757,760 off-diagonal component-specific Phi_2 evaluations.",Exact count / cost projection,Strict tied recurrence,Prompt 2 M192 report,Count checked; runtime benchmark absent,Safe as a count,Do not equate calls with platform FLOPs without benchmark
C20,Threshold separation obstruction,No finite exact correlation-only basis removes component threshold dependence; shifted-ReLU covariance has infinite separation rank.,Exact analytic obstruction,Exact finite reuse basis for noncentral pair kernel,Prompt 2 M192 report,Proof supplied in report; human review needed,Scope to exact finite separation,Does not rule out approximations
C21,Shared low-rank modulation nonclosure,A fixed-rank covariance modulation generically becomes full-rank after ReLU.,Exact generic statement,Shared orientation with component-specific low-rank modulation,Prompt 2 M192 report,Derivation supplied; human review needed,Use “generically”,Does not rule out special networks or truncation
C22,Transcript nonidentifiability,No deterministic function of the finite baseline output transcript is universally exact over the full homogeneous ReLU class.,Exact constructive theorem,Finite design transcript; full homogeneous ReLU class,AGENT4_REPLAYABILITY_CONTINUATION_V3.md,Public construction and arithmetic certificate,Strong appendix theorem,"Does not exclude weight-aware, biased, or ensemble-specific estimators"
C23,M194 tested kernel,The quadratic boundary-normal-energy-derived cubic phase is identically zero by complete-basis Parseval.,Exact kill certificate,One specified kernel subclass,WHestBench_M194_Cubic_Boundary_Walsh_Kill_Certificate_20260731.md,Algebraic result,Appendix only,Does not close gate-conditioned all-ancestor kernels
C24,M189 QTT,Shared/layerwise Kerdock QTT is structurally unfavorable; direct final-output QTT remains unresolved.,Partial theorem / operational audit,Named tensorizations,M189_Kerdock_Index_QTT_Falsifier_20260731.md,No decisive nodewise final-output arrays,Use nuanced split verdict,Do not claim universal TT-rank lower bound
C25,M190 chaos engine,"Exact shared-Hermite pooling identity exists, but natural active-degree matrices are generically full rank and no D<=32 certificate is measured.",Exact identity plus cost projection,Tied-covariance parent contraction,WHestBench_M190_Internal_Compositional_Chaos_Engine_20260731.md,No new cohort,Close as separate branch,Does not rule out every tensor cut
C26,Tail audit,No tested frozen intervention improved mean adjusted score and tails simultaneously; retain baseline.,Bounded empirical audit,Exposed cohorts and named interventions,M210_Grouped_Tail_Mechanism_Audit_20260731.md,Official JSON missing; partially reconstructed,No-ship recommendation,Do not call maximum raw error 5.8x mean
C27,M195 quotient operator,Handcrafted 29-feature class failed; unrestricted quotient operator remains deferred because prerequisites are absent.,Empirical subclass closure / deferral,Named feature dictionary vs unrestricted quotient,M195_Full_Quotient_Operator_Falsifier_20260731.md,No new experiment,Use two-part verdict,Do not claim full-weight learning impossible
C28,M193 boundary-normal audit,Output-weighted boundary-normal rank and current telescoping were not run.,Open / unrun,M193 declared diagnostic,v31 ledger; stale Prompt 9,No result,List as limitation only,Do not infer from activation covariance rank
C29,Protected data status,The publication archive reports no protected evaluation was opened during the final research phase.,Process statement,Project record through v31,v31 current state and reports,Documentary audit,Safe with date,Do not imply future protected status
C30,AI assistance,"Multiple LLM agents were used for ideation, proof attempts, code review, synthesis, and drafting.",Disclosure,Entire project,Project record,Must be declared,Use explicit disclosure,Do not imply AI text was independently verified evidence
