id,title,evidence_level,scope,headline,status,primary_artifact,reproduction_note
T16,All-degree auxiliary optimum,COMPUTER-ASSISTED,"d=256 depth=32 limiting ReLU kernel; nonnegative auxiliary expansions","Unique degree-5 optimizer; Kerdock within 0.0233242% of nonnegative static optimum",PUBLICATION GATE,evidence/primary_theory/T16_FULL_LP_THEOREM.md,"Available script/certificate; independent interval stack pending"
T70A,Audited signed frozen-witness inertia floor,COMPUTER-ASSISTED,"static network-independent <=66048 nodes; real mass-one weights; limiting kernel","Risk >=0.9370601683665084 of Kerdock upper endpoint; Kerdock/rule factor <=1.0671673322143325; maximum Kerdock-risk reduction 6.293983%",PUBLICATION GATE,evidence/primary_theory/signed_replay/INERTIA_STRENGTHENED_FROZEN_WITNESS_VERIFICATION.json,"Exact-rational downstream replay; inherited directed endpoints; stronger reoptimized witness not recovered"
T75,Negative-atom hierarchy,COMPUTER-ASSISTED,"T70 class with at least q negative atoms","q>=1072 caps gain below 1.05x; q>=4160 worse than Kerdock",SUPPORTED,evidence/primary_theory/T75_SIGN_COUNT_INERTIA_HIERARCHY.md,"Exact-rational specialization"
T58T59,Block-trace sharpness and equality,PROVED,"abstract harmonic rank/block-trace relaxation","Relaxation sharp; atomic equality forces equal positive weights and zero code",SUPPORTED,evidence/primary_theory/BLOCKTRACE_RELAXATION_SHARPNESS_AND_EQUALITY.md,"Analytic"
T61T63,Shared-Gram sharpness and strict nonattainment,PROVED,"shared abstract second moments; actual atomic evaluation","Common Gram does not strengthen; released abstract floor unattainable",SUPPORTED,evidence/primary_theory/AGENT1_SHARED_GRAM_REALIZABILITY_REPORT_20260730.md,"Uniform signed epsilon remains open"
T104,Complete-block variance identity,PROVED,"structured residual estimators using complete Kerdock blocks","Pointwise residual variance can mis-rank anchors",SUPPORTED,papers/Paper_B_Oracle_Headroom_Open_Ledger.md,"Archived rank-128 comparison reported"
M198,Smoothed residual mechanism,REPORTED,"smoothed-network anchor; complete-block metric","Residual ratio ~0.0392 at alpha=0.2",MECHANISM,papers/Paper_B_Oracle_Headroom_Open_Ledger.md,"Raw bundle not assembled"
M199M200,Smoothed hybrid closure,REPORTED,"tested matched-cost and Gaussian-closure implementations","No overlap between useful residual shrinkage and cheap expectation",OPERATIONALLY CLOSED,papers/Paper_B_Oracle_Headroom_Open_Ledger.md,"Local values retained"
M205,Shared-reference Taylor recentering,REPORTED,"K=64 global vs pooled-within covariance reference","Offsets shrink without error improvement",OPERATIONALLY CLOSED,evidence/final_audits/WHestBench_Prompt1_Independent_Reproduction_Audit_20260731.md,"Experiment not independently rerun"
M206,Direct/Hermite rank sweep,REPORTED+ARITHMETIC CHECKED,"tested covariance-rank contraction","Reported r=128 pass; 2n^2r=n^3 exactly",OPERATIONALLY CLOSED,evidence/final_audits/WHestBench_Prompt1_Independent_Reproduction_Audit_20260731.md,"Rank errors not rerun"
M192,Tied/shared covariance,EXACT RECURRENCE+REPORTED ORACLE,"compact common-covariance mixture","Valid recurrence; no compact legal pass; 64.8M Phi2 calls at K=64",REPRESENTATION ONLY,evidence/final_audits/WHestBench_Prompt2_M192_Tied_Shared_Covariance_20260731.md,"No strict tied-K ladder"
M194,Quadratic boundary-energy Walsh kernel,PROVED KILL,"specified gauge-invariant quadratic primitive","Observable identically zero by complete-basis Parseval",SUBCLASS CLOSED,evidence/final_audits/WHestBench_M194_Cubic_Boundary_Walsh_Kill_Certificate_20260731.md,"Does not close gate-conditioned ancestor kernels"
M189,Kerdock-index QTT,THEOREM+ARTIFACT AUDIT,"layerwise/shared-output and direct final-output QTT","Layerwise structural obstruction; direct output operational fail",OPERATIONALLY CLOSED,evidence/final_audits/M189_Kerdock_Index_QTT_Falsifier_20260731.md,"Nodewise tensor absent"
M190,Compositional chaos engine,EXACT IDENTITY+RANK THEOREM,"shared-Hermite tied-covariance evaluator","Exact recurrence generically full rank; no low-degree score pass",OPERATIONALLY CLOSED,evidence/final_audits/WHestBench_M190_Internal_Compositional_Chaos_Engine_20260731.md,"Actual truncation curves absent"
M195,Full quotient operator,PREREQUISITE AUDIT,"symmetry-quotiented weight operator","Handcrafted subclass closed; unrestricted operator deferred",DEFERRED,evidence/final_audits/M195_Full_Quotient_Operator_Falsifier_20260731.md,"No qualifying anchor"
M208,Reported exposed baseline,REPORTED,"129-basis package; exposed Mini-100","Adjusted 1.4641716e-7; raw 2.2819432e-7; 0/100 failures",ARTIFACT VERIFICATION PENDING,evidence/final_audits/WHestBench_Prompt1_Independent_Reproduction_Audit_20260731.md,"Exact package and JSON missing"
M210,Tail mechanism audit,PARTIALLY VERIFIED,"existing frozen intervention families","No intervention wins mean, tail, and cost",NO SHIP,evidence/final_audits/M210_Grouped_Tail_Mechanism_Audit_20260731.md,"Per-network JSON missing"
