ID,Evidence level,Family,Experiment,Result,Verdict,Primary source,Status,Evidence tier,Overlap cluster
P1C02,Architecture-matched width256 fresh 6+6,Legal signed anchor,Internally centered analytic covariance-defect closure,"Centered validation 0.992662, 4/6 wins, worst 1.14934; absolute closure selected alpha 0",Close tested analytic closure,02_centered_analytic_closures,Closed,E3 synthetic frozen,Legal signed-anchor continuation
P1C03,Architecture-matched width256 fresh 6+6,Legal signed anchor,Inherited transport versus marginal-source blend,"Safe source blend validation 0.98648, 4/6, worst 1.071",Weak signal; below gate,03_source_blend_transport,Closed tested form,E3 synthetic frozen,Legal signed-anchor continuation
P1C04,Architecture-matched width256 12 train +8 validation,Legal signed anchor,Constrained weak analytic anchor ensemble,"Collapsed to transport-only; validation 0.9386845, 5/8, worst 1.1019004",Retain only as weak analytic baseline; no promotion,04_weak_anchor_ensemble,Leading weak negative,E3 synthetic frozen,Legal signed-anchor continuation
P1C06,Architecture-matched width256 6+8,Legal signed anchor,Analytic anchor plus antithetic residual pilot,"Gated validation 0.99371, 4/8, worst 1.135",Close residual-pilot form,06_analytic_plus_residual_pilot,Closed tested form,E3 synthetic frozen,Legal signed-anchor continuation
P1C07,Architecture-matched width256 N=6,Legal signed anchor,q128 direct adjoint marginal-source contraction,"First-layer-only 0.958917, 6/6, worst 0.9744; later sources unstable",Retain contraction infrastructure; close source,07_q128_adjoint_sources,Infrastructure retained,E3 synthetic screen,Legal signed-anchor continuation
P1C11,Architecture-matched width256 6+12,Legal signed anchor,Affine-CV pilot-phased q128 source,"Tuning 0.70553, validation 1.19562, worst 3.19797",Close anchor-level pilot phasing,11_pilot_phased_q128_source,Closed tested form,E3 synthetic frozen,Legal signed-anchor continuation
P1C12,Architecture-matched width256 N=6,Direct output estimator,Moment-matched affine-network residual pilot,Safe tuning 0.97477; projected under compute cap,Weak standalone; useful diagnostic only,12_direct_output_affine_cv,Closed as standalone,E3 synthetic screen,Legal signed-anchor continuation
P1C13,Architecture-matched width256 6+12,Legal signed anchor,Output-benefit-phased q128 source,"Tuning 0.45640, validation 1.14134, worst 2.79118",Close single-scale output-benefit gate,13_direct_pilot_phased_q128,Closed tested form,E3 synthetic frozen,Legal signed-anchor continuation
P1C13R,Architecture-matched width256 18 development +12 first holdout +24 expansion,Legal signed anchor,Cross-scale direct-output pilot confirmation,"First holdout 0.81194 worst1.076; expanded holdout 1.13617 worst2.503, all3 applications harmful",Close external-pilot sign/benefit gating,13_direct_pilot_phased_q128,Closed after expanded failure,E3 synthetic replicated,Legal signed-anchor continuation
P1C14,Architecture-matched width256 N=3 smoke,Legal signed anchor,Whole-basis fold-stable q128 source,Minimum fold cosine 0.997–0.998 while full source ratio 51.4–181.8,Same-design fold agreement is invalid confidence; stop,14_fold_stable_q128_source,Closed mechanism,E3 synthetic diagnostic,Legal signed-anchor continuation
