ID,Evidence level,Family,Experiment,Result,Verdict,Primary source,Status,Evidence tier,Overlap cluster,Update batch
C01,Official/competition,Sampling baseline,Plain Gaussian Monte Carlo,~7.7e-7 adjusted on Mini-100.,Baseline,PUBLIC_POST.md,Scientific / recorded,Official-like,Static/structured sampling,Prior catalog
C02,Official development,Variance reduction,Antithetic + exact-radius sphere + anchored layer-1 control variate,"Best combined adjusted score 4.91e-7; component gains: antithetic 1.09x, sphere 1.04x, anchored CV 1.24–1.71x; best total 1.56x.",Useful but capped,PUBLIC_POST.md,Scientific / recorded,Official-like,Control variates,Prior catalog
C03,Official development + frozen holdout,Low-discrepancy cubature,Two independently scrambled Sobol sphere streams with antipodal pairing and exact radius,Adjusted 3.4607e-7 vs previous 4.91e-7 (29.5% lower); frozen IDs 50–99: 3.6309e-7; 0 failures.,Strong improvement,Pasted text(7).txt,Scientific / recorded,Official-like,Static/structured sampling,Prior catalog
C04,Official development + frozen holdout,Structured cubature,"66,048-point Kerdock/MUB spherical 5-design with FWHT first layer",Raw MSE 2.2826e-7; adjusted 2.2566e-7 vs Sobol 3.4607e-7; 34.8% adjusted improvement; frozen holdout improved 25.0%.,Best validated statistical design,Pasted text(7).txt; PUBLIC_POST.md,Scientific / recorded,Official-like,Static/structured sampling,Prior catalog
C05,Official development,White-box sketch,Energy-weighted K3 carrier sketch,"K3-simple error 4.4663e-5 → 2.4724e-5 (44.6% lower), 9/10 MLPs improved, estimated 3.27% budget; not competitive standalone.","Interesting mechanism, not competitive",Pasted text(7).txt,Scientific / recorded,Official-like,Moment/cumulant closure,Prior catalog
C06,Official development,Rotation selection,Cheap per-network statistics used to choose Kerdock/Sobol rotations,Selectors had Spearman ≈0.05 with true error; apparent gains reversed on holdout; oracle rotation gap existed but was not predictably accessible.,Failed / selection leakage,PUBLIC_POST.md,Closed,Official-like,Static/structured sampling,Prior catalog
C07,Official development,Multifidelity cubature,"90,624-row two-rotation pilot","Raw-MSE gains varied by evaluation split (roughly 10–23%), but the rule uses 90,624 rather than 66,048 rows (+37.2%). The exact depth-32 kernel predicts only about 10.45% MSE reduction, implying an error-cost ratio near 1.229.","Genuine raw-accuracy gain, but honestly accounted adjusted score is worse; closed.","Multifidelity audit and latest multi-agent update, 2026-07-28",Closed,Official-like,Static/structured sampling,Latest multi-agent update
C08,Architecture-matched full dimensions,Multifidelity cubature,"Cheaper 78,336-row rotated pilot",Predicted error-cost ratio 1.091x relative to baseline.,Rejected,Pasted text(10).txt,Scientific / recorded,Synthetic / mixed,Static/structured sampling,Prior catalog
C09,Architecture-matched full dimensions,Cubature modification,Best single added rotated basis,Predicted error-cost ratio 1.0012x.,Rejected / neutral,Pasted text(10).txt,Scientific / recorded,Synthetic / mixed,Static/structured sampling,Prior catalog
C10,Architecture-matched full dimensions,Cubature modification,"Fixed-count basis swaps at 66,048 rows",Best result 1.0029x MSE relative to baseline.,Rejected / slightly worse,Pasted text(10).txt,Scientific / recorded,Synthetic / mixed,Static/structured sampling,Prior catalog
