ID,Evidence level,Family,Experiment,Result,Verdict,Primary source
C01,Official/competition,Sampling baseline,Plain Gaussian Monte Carlo,~7.7e-7 adjusted on Mini-100.,Baseline,PUBLIC_POST.md
C02,Official development,Variance reduction,Antithetic + exact-radius sphere + anchored layer-1 control variate,"Best combined adjusted score 4.91e-7; component gains: antithetic 1.09x, sphere 1.04x, anchored CV 1.24–1.71x; best total 1.56x.",Useful but capped,PUBLIC_POST.md
C03,Official development + frozen holdout,Low-discrepancy cubature,Two independently scrambled Sobol sphere streams with antipodal pairing and exact radius,Adjusted 3.4607e-7 vs previous 4.91e-7 (29.5% lower); frozen IDs 50–99: 3.6309e-7; 0 failures.,Strong improvement,Pasted text(7).txt
C04,Official development + frozen holdout,Structured cubature,"66,048-point Kerdock/MUB spherical 5-design with FWHT first layer",Raw MSE 2.2826e-7; adjusted 2.2566e-7 vs Sobol 3.4607e-7; 34.8% adjusted improvement; frozen holdout improved 25.0%.,Best validated statistical design,Pasted text(7).txt; PUBLIC_POST.md
C05,Official development,White-box sketch,Energy-weighted K3 carrier sketch,"K3-simple error 4.4663e-5 → 2.4724e-5 (44.6% lower), 9/10 MLPs improved, estimated 3.27% budget; not competitive standalone.","Interesting mechanism, not competitive",Pasted text(7).txt
C06,Official development,Rotation selection,Cheap per-network statistics used to choose Kerdock/Sobol rotations,Selectors had Spearman ≈0.05 with true error; apparent gains reversed on holdout; oracle rotation gap existed but was not predictably accessible.,Failed / selection leakage,PUBLIC_POST.md
C07,Official development,Multifidelity cubature,"90,624-row two-rotation pilot","Raw MSE improved about 23.1% (1.7587e-7 → 1.3529e-7), but rows rose 37.2%; N×MSE was about 5.5% worse. Later kernel prediction and holdout rejected it.",Failed after cost correction,Pasted text(10).txt
C08,Architecture-matched full dimensions,Multifidelity cubature,"Cheaper 78,336-row rotated pilot",Predicted error-cost ratio 1.091x relative to baseline.,Rejected,Pasted text(10).txt
C09,Architecture-matched full dimensions,Cubature modification,Best single added rotated basis,Predicted error-cost ratio 1.0012x.,Rejected / neutral,Pasted text(10).txt
C10,Architecture-matched full dimensions,Cubature modification,"Fixed-count basis swaps at 66,048 rows",Best result 1.0029x MSE relative to baseline.,Rejected / slightly worse,Pasted text(10).txt
C11,Architecture-matched full dimensions,Particle compression,"Propagate all particles to layer 24, retain 33,024 using randomized-Hadamard features + Morton pairing, reweight 128 mean features","Development projected-score ratio 0.873x, but frozen holdout 1.069x; holdout bootstrap roughly 0.95–1.30 before overhead.",Failed on holdout,Pasted text(10).txt
C12,Synthetic / exact finite-width layer 2,Sigma sampling design,Random orthonormal basis + antipodes,6.47x lower sigma MSE than IID at width 256 layer 2; advantage faded with depth.,"Strong shallow result, limited deep transfer",Pasted text (5).txt
C13,Synthetic / exact finite-width layer 2,Sigma sampling design,One Kerdock basis,6.25x lower sigma MSE than IID at width 256 layer 2.,Strong shallow result,Pasted text (5).txt
C14,Synthetic depth 16,Sigma sampling design,"Sobol, orthogonal blocks, and 50/50 mixture","Sobol 2.19x; orthogonal blocks 1.42x; pooled half-Sobol/half-orthogonal 2.62x; learned layerwise blend 2.67x (train 12, test 8).",Promising synthetic result,Pasted text (5).txt
C15,"Synthetic width 64, depth 32",Sampling design,Independent Haar-orthogonal bases,"At equal 4,096 points, about 5.6x lower MSE than IID and 2.5x better than random signed-Hadamard bases.",Strong synthetic result,Pasted text (3).txt
C16,Synthetic width 256,Sampling design,Haar-orthogonal bases vs IID and Sobol,"At 4,096 points, reported about 3.7x better effective variance than IID and 1.4x better than Sobol in one suite; later larger bootstrap found much weaker sigma differences. Later paired width-256 tests resolved this toward a small, reliable Haar advantage for sigma, not a transformative final-mean gain.",Superseded by larger follow-up; modest robust Haar advantage,Pasted text (3).txt; Pasted text (2)(1).txt; CONTINUATION_REPORT.md
