Metric,Value,,New ID,Family,Status,Verdict
Canonical experiment rows,521,,T22,Final Kerdock near-optimality theorem,Theorem complete,Complete within trust base and explicit scope; ready for external review and publication.
Rows beyond original 260,261,,C54,Stratified tail coresets,Closed,Extra strata add calibration cost and instability; closed.
Evidence registry rows,206,,C55,Adaptive tail row count,Open / pending,Plausible sub-percent adaptive gain; not submission-ready.
Duplicate experiment IDs,0,,C56,Tail-surrogate coreset features,Closed,Closed.
Canonical version,v31,,C57,Network-adaptive particle selection,Closed,Cheap network-specific row scoring failed; balanced random selection remains safer.
,,,C58,Multi-start balanced coresets,Open / pending,Weak open lead; requires completed untouched holdout.
,,,C59,Adaptive Kerdock early stopping,Closed,Large inaccessible oracle gap; closed for tested diagnostics.
,,,C60,Direct residual learning,Closed,Closed in the tested low-dimensional feature form.
,,,V59,Pathwise Stein Kerdock transfer,Closed,Provisionally closed on Kerdock; test used rotation variance rather than high-precision truth MSE.
,,,V60,Exact second-moment quadratic control,Scientific / recorded,Real prospective raw-MSE signal; official cost and tail-risk validation required.
,,,V61,Cheap quadratic-control direction,Leading / active,Preferred implementation of V60 if pursued.
,,,V62,Exact layer-1 mean transport,Scientific / recorded,Superseded by later cross-fitted layer-origin attribution: only 1.052x with harmful networks.
,,,V63,Composite exact-mean controls,Scientific / recorded,Statistically positive but budget-infeasible as implemented.
,,,V64,Small-count exact-moment controls,Closed,Controls become too noisy at small point counts; closed for the floor-budget route.
,,,M73,Transported-cumulant contraction,Leading / active,Passes downstream-contraction gate; still relies on accurate/oracle transported features.
,,,M74,Covariance consistency repair,Closed,Repeated PSD projection is destructive; closed.
,,,M75,Permutation-equivariant weight-space learning,Scientific / recorded,Broad analytic bias is learnable; scientifically positive but far from standalone challenge accuracy.
,,,M76,Weight-space Kerdock correction,Scientific / recorded,Current weights-only model cannot predict Kerdock's remaining phase; close this path.
,,,M77,Kerdock residual mode structure,Scientific / recorded,Residual is simple within a network but unpredictable from tested observables.
,,,M78,Spectral-ramp Gaussian closure,Scientific / recorded,"Specific finite-width mechanism identified, but absolute error remains far above Kerdock."
,,,A19,Adaptive 2–6-layer suffix compiler,Leading / active,Strongest new honest near-term candidate; integrate and grade.
,,,A20,Deeper suffix compiler,Closed,Stop at maximum depth 6.
,,,A21,Adaptive compiler robustness,Scientific / recorded,"Freeze threshold 1 and the existing 2,064-row balanced pilot."
,,,A22,FlopScope accounting bypass,Closed,Scoring/accounting workaround invalid; do not pursue.
,,,A24,Minimum-saving compiler guard,Leading / active,Adopt immediately in any adaptive compiler implementation.
,,,A25,Boundary-certified suffix compilation,Scientific / recorded,"Excellent validation/debugging oracle, but too conservative and costly for submission runtime."
,,,A26,Certified adaptive compiler,Closed,Retain certification only as a validation tool; reject at runtime.
,,,V65,Fresh quadratic-control validation,Closed,Selection-leakage reversal; quadratic-control branch closed.
,,,A27,Energy-based suffix classification,Open / pending,Positive unresolved signal; keep experimental until the larger frozen validation completes.
,,,A28,Risk-aware suffix-depth selector,Closed,Risk-aware selector failed; retain simple minimum-cost depth selection.
,,,A29,Fixed three-layer suffix compiler with layerwise shrinkage,Leading / active,Simplest strong package candidate; likely tied with adaptive 2–6 after real overhead.
,,,A30,Adaptive compiler rule selector,Open / pending,"Statistically stronger than fixed A29, but only ~0.23 percentage points better and may lose to selection overhead."
,,,A31,Compiler pilot size and rare threshold,Leading / active,"Freeze c=8, rare=8 for the fixed three-layer compiler family."
,,,A32,Compiler correction shrinkage refinements,Closed,Keep the simple fixed layerwise shrinkage rule.
,,,A33,Shrunk four-layer compiler,Open / pending,"Intriguing conditional headroom, but insufficient evidence; do not replace A29."
,,,T25,Exact first-layer Hermite subtraction,Closed,Analytic no-op; STOP before implementation or holdout use.
,,,V66,Transport with untouched-subset debiasing,Closed,STOP subset debiasing. Continue only undebiased two1/two2 transport for official validation.
,,,M79,Weight-conditioned Hermite controls,Closed,Analytic no-op; STOP before training.
,,,M80,Weight-conditioned nonlinear ridge controls,Closed,Below the 1.3x major-path gate; STOP full training. Reopen only for a preregistered degree>=6 oracle screen.
,,,V67,Stein-potential and signed neural controls,Closed,STOP current Stein/signed-neural family on complete Kerdock.
,,,T26,Signed network-dependent basis-block cubature,Closed,Analytically closed unless the degree<=5 guarantee is explicitly abandoned.
,,,A34,Residual control-variate benchmark infrastructure,Leading / active,CONTINUE; this is the canonical harness for future analytic or learned surrogates.
,,,M81,Gaussian-closure residual Kerdock,Superseded,Broad M81 screen superseded by the layer-31 residual channel; continue only depth-local formulation.
,,,V68,Exact one-direction preintegration,Scientific / recorded,"Real statistical mechanism, but STOP direct implementation because cost is prohibitive."
,,,V69,Penultimate conditional integration,Closed,STOP; low-rank conditioning does not clear the 1.3x oracle gate.
,,,V70,Multilevel surrogate residual estimator,Closed,STOP; optimal allocation did not beat full-fidelity Kerdock spending.
,,,V71,Degree-6+ spherical-harmonic controls,Closed,Closed as a major path; exact degree-6 ceiling is only 1.162x and frozen regression failed.
,,,M82,Calibrated standalone K3 closure,Scientific / recorded,"Close standalone K3. Retain only as a possible pointwise surrogate/feature source, with gamma tuned inside the residual-control objective on untouched networks."
,,,A35,Current Kerdock/Winograd checkpoints,Scientific / recorded,Use as current checkpoint context; row-0 compute results are not a full official generalization result.
,,,M83,Deep-anchor tolerance,Scientific / recorded,"Mean precision is the binding component for the tested control; target <=0.3%, independently reproduce."
,,,M84,Kerdock-derived Edgeworth anchor,Closed,Measured 12.996x; same-cloud noisy Edgeworth mean correction is actively harmful.
,,,A36,Moment-state convention audit,Leading / active,Adopt mandatory convention and norm regression tests.
,,,M85,Corrected connected-K3 quadratic-Hermite control,Scientific / recorded,"70% shrink reached 0.881 held-out raw MSE, but full tensor cost is prohibitive."
,,,M86,Adjoint-compressed K3 contractions,Open / pending,Only live deployable version of the K3-anchor mechanism; no frozen MSE yet.
,,,V72,Compressed-kink / hinge conditional integration,Closed,"Strong oracle capture, but selectors fail and 2x lower-bound compute makes it score-negative."
