Claim,Status,Precise assumptions / scope,Best source,Recommended paper wording,Main attack,Required action
Kerdock near-optimality,COMPUTER-ASSISTED CERTIFIED,"d256, depth32 infinite-width normalized ReLU kernel; ≤66,048 nodes; fixed/network-independent randomized; nonnegative mass-one",T22/T23/T31,"Standalone T22 v5.1 gives [0,0.02336550102949%]; after incorporating the completed T16/T30 auxiliary optimum, the combined static-class excess bound is [0,0.023324172950039%].",One-sided logic; finite-width/adaptive scope leakage,Keep the standalone and combined bounds distinct and preserve all finite-width/adaptive/nonlinear exclusions.
All-degree auxiliary optimum,COMPUTER-ASSISTED CERTIFIED,Finite or absolutely convergent admissible nonnegative Gegenbauer expansions for the named auxiliary LP,T16/T30,The exact degree-five Hermite minorant is the unique all-degree auxiliary-LP optimizer; auxiliary comparison upper is 0.023324172950039%.,Confusing certificate optimality with cubature optimality,Hostile human/second-stack review.
Complete-support fixed-linear weights,PROVED UNDER EXPLICIT MODEL,"Complete 66,048-point support; rotationally invariant ensemble; zonal second moment; fixed linear weights",T29,Uniform mass-one weights minimize ensemble MSE at every width; free mass gives alpha-scaled uniform.,Data-dependent/nonlinear/changed-support extrapolation,Include exact scope and negligible alpha audit.
Kerdock-line real-weight optimum,"PROVED, RESTRICTED","Fixed 33,024 symmetrized Kerdock lines; arbitrary real mass-one line weights",T27,Complete bases plus at most one partial basis optimize every line budget.,Arbitrary-node or finite-width extrapolation,"State beside T22, not as global signed closure."
MUB support extremality under signs,PROVED UNDER SHARP CONDITIONS,"MUB association values satisfy A-O>0, O-C<0 and A-O+d(O-C)>0",T37,Complete-basis concentration follows under explicit kernel sign conditions.,Unconditional version is false,Publish sign conditions and PSD counterexample together.
T22/T23 release reproducibility,VERIFIED / RELEASE-HARDENED,v5.1 trust base; 32 outputs; 23 chunks; 59 manifest entries,T31,The proof package is clean-room reproducible and semantically one-sided.,Self-authenticating manifest; partial current rerun,Externally anchor digest and run full CI regeneration.
Runtime information value,PROVED,Square-integrable Hilbert error; corrections measurable with runtime sigma-field,T33,Optimal runtime correction is E[e|G]; attainable gain is E||E[e|G]||².,Mathematical standardness; estimating the value empirically,"Use as organizing definition, not novelty overclaim."
Correction and replacement theory,PROVED / EXPLICIT MODELS,Named Hilbert subspace/replay assumptions; exact or bounded ReLU remainder,T28,Correction value depends on signed downstream alignment; full replacement uses eta_J and nonlinear margin.,Unweighted scalar threshold or hidden cross terms,Use appendix formulas and exact replay diagnostics.
Common-bias non-identifiability,PROVED UNDER EQUAL-LOADING MODEL,Zi=mu+b+epsilon_i with parameter-independent noise law,T28/T33,Centered same-design diagnostics cannot identify a shared absolute phase in this model.,Unequal loadings/new observables restore identifiability,Include counterexample outside the model.
Gaussian Bayes/no-adaptation route,INVALIDATED FOR ACTUAL OUTPUT,Challenge output is post-ReLU,T32,Static kernel theorems do not imply nonlinear or adaptive impossibility.,Readers may infer universal closure,Place nonlinear counterexample prominently.
