Evidence object,Cohort / seeds,Selection chronology,Independent unit,Reference / target,Headline result,Reproducibility,Permitted paper use
T4 frozen policy,"16 base networks 6000-6015; rotations 3,11,97",development only; 2250-policy grid frozen before literal-rotation labels,base network,two independent aggregate truth halves from six scrambled Sobol streams,raw 1.127854; noise-corrected 1.145174,well packaged,"Use as a frozen development branch closure, not validation or impossibility."
Degree-6+8 dictionary,16 development networks; 16 frozen validation seeds 10016-10031,dictionary selected on development and frozen,base network,two independent 262144-point Sobol-sphere truth streams,raw 1.004439; 6/16 wins; grouped bootstrap interval reported,traceable; source inputs should be bundled,Only the selected small dictionary failed.
Path-2 scalar audit,32 development rows/24 groups; 36 holdout rows/12 groups,models and matched constants evaluated with grouped splits,base-network group,archived target with material reference noise,feature-dependent models add no value over matched constants,derived outputs coherent; source archive omitted,Add target-noise attenuation caveat; do not call M152.
M146,"reported 60-network object, identifiers unavailable",unknown,unknown,unknown,"reported 1.012, 41.2x and ~5e-4",missing,Exclude numerical claims from evidence-bearing sections.
M152,"reported 1100-network corpus, unavailable",unknown,unknown,unknown,all reported numbers,missing,Remove completely from evidentiary tables.
Reopened downstream anchors,fit cases 0-15; calibration 16-23; 28 external cases across validation/expansion/rotations,single global scalar fit on development only,archived base case,higher-reference truth where present,best external pooled raw 0.851978; worst 1.9242,derived arrays and hashes present; original source trajectories external,Diagnostic only; rotation expansion reverses above one.
Poisson controls,fit 3000-3003; exploratory 3004-3019; terminal 3020-3035,post-hoc exploratory descendant frozen for terminal,base network,synthetic full-width reference,terminal pooled raw 1.03794,row-level reproducibility archive present,Close tested dictionary.
Projected ReLU controls,fit 3000-3003; exploratory 3004-3019; terminal 3020-3035; extension 3036-3067,exact descendant preregistered and extended without refit,base network,synthetic full-width reference,48-network raw 1.01268; adjusted 1.06687,row-level reproducibility archive present,Close tested family; initial gain was concentrated in hard networks.
Signed near-collision probes,fit 3000-3003; validation 3004-3067,global coefficients frozen after four-network fit,base network,synthetic full-width reference,global 1.55731; oracle 0.13118,row-level reproducibility archive present,Oracle/capacity result must be visually separated from deployable result.
Public high-row accounting,released 90624-row package and fresh 12-network exponent audit,"forensic reconstruction, not participant method inference",base network where applicable,reported released metrics plus synthetic exponent estimate,frontier explainable within stated tolerance,partially traceable,Use no participant attribution and no claim of official verification.
