V26 source-capacity and 80%-target economics matrix,,,,,,,,,,,
,,,,,,,,,,,
Source / route,Evidence cohort,Rank,Pooled r*,Worst r*,Fixed cost c0,80% root allowance,80% noise-cost ceiling,Gate A,Observability,Disposition,Next test
Adaptive direct-output PCA,36 frozen cases,36.25,0.0749,0.183,1,0.17353495183187778,0.030114379507292142,PASS,No passing estimator,LEAD,Source-specific checkpoint-gauge SOCP
Fixed direct-output rank 40,36 frozen cases,40,0.067136,0.1613,1,0.18810743964873156,0.035384408851201185,PASS,No passing estimator,ALTERNATE,Compare with rank 32/40 in same SOCP
Fixed direct-output rank 32,36 frozen cases,32,0.081362,0.213839,1,0.16197334588570728,0.026235364777410966,PASS narrowly on tails,No passing estimator,ALTERNATE,Prefer if lower dimension materially helps covariance
Conic multiresolution A90,12-case provisional,90,0.02292,,1.0458811741,0.2923859606592358,0.08548954999062418,PROVISIONAL,Exact controls exist; full variance unknown,SECONDARY,Full-48 reconstruction + physical covariance
Conic single-scale A30,12 confirmation,30,0.156212,0.311349,1.0458811741,0.04301167817582002,0.0018500044595003125,FAIL tails,Pilots fail by large factors,STOP,Mechanistic benchmark only
Nonlinear secant hidden rank 32,36 frozen cases,32,0.081667,0.221,1.0155,0.1592329737560635,0.025355139931199203,PASS aggregate/tails,Known shared-pass estimators fail,QUARANTINE,Only exact vector identity can revive
Static signed arbitrary-node,Theorem,66048,0.937060523,0.937060523,1,0,0,FAIL,N/A,CLOSED,Publication only
,,,,,,,,,,,
Interpretation,Rule,Current result,Action,,,,,,,,
80% target,Adjusted score ratio ≤0.20.,Direct adaptive source leaves squared optimistic budget ≈0.0301.,Harder but still mathematically open.,,,,,,,,
4.34× target,Adjusted score ratio ≤0.2304147.,Direct adaptive source leaves squared budget ≈0.0426.,Competition-moving if observability passes.,,,,,,,,
Tail safety,"Every frozen case should pass source-specific zero-noise gate, preferably r*<0.15.",Adaptive direct passes target but worst=0.183; rank40 is safer.,Use grouped network tails in promotion.,,,,,,,,
Estimator gate,"Absolute signed contractions, full covariance, all compute, replay/source cost.",No current estimator passes.,No protected data.,,,,,,,,
Decision,Capacity alone is no longer the main blocker.,Signed observability is the bottleneck.,Run only the two bounded audits.,,,,,,,,
