claim_id,claim,status,scope,verified_result,remaining_limit,canonical_action
T22-DUAL,Static nonnegative arbitrary-node Kerdock near-optimality,COMPUTER-ASSISTED CERTIFIED,"d=256; depth-32 infinite-width normalized ReLU kernel; <=66048 nodes; nonnegative mass-one; network-independent",Full Decimal and direct-C GMP/MPFR theorem-critical numerical reproduction; GCC/Clang identical,No finite-width/adaptive/nonlinear/arbitrary-signed coverage,Retain headline
T16-FULL,Unique all-degree auxiliary LP optimizer,COMPUTER-ASSISTED CERTIFIED,"Named Gegenbauer auxiliary LP for d=256 depth 32 N=66048",Unique degree-5 Hermite optimizer; tightened relative excess <=0.023324172950039%,Full primal certificate lacks complete independent second interval stack,Retain headline and seek second-stack audit
T27-FW,Fixed MUB-line support allocation at finite width,PROVED UNDER EXPLICIT MODEL,"Static linear mass-one rules; arbitrary real line weights; fixed union of symmetrized MUB lines; isotropic Gaussian first layer independent of later randomness",Complete bases plus at most one partial basis with positive equal within-basis weights,Does not cover arbitrary nodes or network-adaptive support,Upgrade scope table
INFO-VALUE,Runtime information value,PROVED / STANDARD,"Square-integrable Hilbert-valued error and runtime sigma-field",Attainable unrestricted gain equals E||E[e|G]||^2,Not a novel probability theorem; hard to calculate for actual feature maps,Use as organizing principle
GROUP-OBS,Group-invariant observability theorem,PROVED UNDER EXPLICIT MODEL,"Measure-preserving group action; equivariant error; invariant observations",Only invariant error component can be recovered,Actual WHestBench conditional symmetry not proved,State theorem and empirical hypothesis separately
T4-PHASE,T4 invariant-feature signed phase,FROZEN EMPIRICAL NEGATIVE,"48 rows; 16 base networks x 3 rotations; nine legal geometry features; grouped CV",No model had useful OOF R2 or significant signed correlation; high within-network sign variation,Small development cohort; cannot upper-bound all observables,Keep narrow negative result
REOPENED-POISSON,Weight-derived Poisson controls,FROZEN EMPIRICAL FAILED,"Full-width synthetic; preregistered terminal 16 networks",Raw 1.037939; cross 1.044574; 7/16 wins,Tested dictionary only,Close tested form
REOPENED-PRELU,Projected exact-mean ReLU controls,FROZEN EMPIRICAL FAILED,"48 terminal networks; fixed candidate",Raw 1.012682; adjusted >1; 18/48 wins,Other nonlinear exact-mean families open,Close tested form
REOPENED-SIGNED,Outside-Kerdock signed near-collision probes,FROZEN EMPIRICAL FAILED,"64 validation networks; global coefficients",Network-derived raw 1.557314; worst 5.403558; strong per-network oracle only,Analytic per-network phase rule remains open,Close global learned coefficients
A5-STEIN,High-degree sphere-Stein control,FROZEN EMPIRICAL FAILED,"16 preregistered fresh networks",Raw 1.010720; worst 1.130199,Other high-degree families open,Close tested form
A5-ANCHOR,T4 shrink/abstention fresh validation,FROZEN EMPIRICAL NEUTRAL,"8 networks x 3 rotations; policy frozen",Raw 1.000097; same-direction oracle 0.856469,New independent phase observable open,Close existing feature learner
M146,Reported precision curve,PROVISIONAL / QUARANTINED,Original row package absent,Arithmetic quadratic consistency only,Directions/cohort/seeds/replay missing and universal threshold false,Exclude from evidence core
M152,Claimed 1100-network scalar prediction,UNVERIFIED / REMOVED,Corpus and experiment package absent,None,All evidentiary dependencies missing,Remove
