Workstream,Agents/reports overlapping,What was repeatedly tested,Canonical conclusion,Canonical rows
Static Kerdock geometry,"Sampling, kernel-theory, proof and support-allocation agents","Partial bases, rotations, fixed weights, arbitrary line weights, auxiliary degrees and exact construction",T22 certifies the arbitrary-node nonnegative static boundary; T29 fixes complete-support linear weights at all widths; T30 closes the all-degree auxiliary; T27/T37 solve line-universe/support allocation under exact assumptions.,"T22,T27,T29–T31,T37"
Particle/tail compression,"Particle-compression, structure-aware, adaptive-coreset, non-K3 agents","Morton grouping, Nyström, kink features, strata, adaptive row counts, multi-start subsets",All tested particle/tail compression and Path5 selector families are closed for deployment; retain only oracle assets and exact-geometry diagnostics.,C46–C67
Moment/covariance closure,"Edgeworth, learned covariance, transported-cumulant, exact-anchor, and residual-spectrum agents","Gaussian one-step error, connected c21/K3 anchors, mean tolerance, recursive rollout, and layer-origin attribution","The dominant oracle-repairable object is now the layer-31 mean defect. Connected K3 carries real signal, but full-state propagation is too costly and the deployable deep mean remains unresolved.","M18–M86, V73"
Control variates,"Layer-1, pathwise Jacobian, Stein, exact-anchor, K3-anchor, and conditional-integration agents","Exact means, deep anchors, hinges, Jacobians, Stein kernels, cross-fitting, and shrinkage","Deep oracle controls have large headroom, but same-cloud anchors, ordinary independent side channels, marginal phase statistics, full K3 rollout, and current joint-scalar recurrences fail cost or deployment gates. The 70%-shrunk connected-K3 control and direct sparse exact-anchor screens remain mechanism evidence only.","V05,V25–V72,M83–M86,M104–M107"
Suffix compilation,"Structure-aware residual, two-layer, fixed-three, adaptive-depth and production-measurement agents","Dead/on/kink classification, depths1–8, packing, guards, certification, shrinkage and actual partial-tree integration","two_layer, fixed_three and adaptive_2_6 all fail on the production baseline. The compiler family is closed; only production/A42/A43 packaging economics remain.","A15–A33,A39,A47"
Haar pilots,Moment-pilot and official-runner agents,IID vs Sobol vs Haar and sample-count scaling,Haar is real but still lacks the decisive official run.,"C29–C37, A13"
Learned weight-space models,Equivariant-model and direct residual-learning agents,Predict broad analytic bias versus Kerdock residual,Mean-field error is learnable; Kerdock residual is not in tested representations.,"M75–M77, C60"
Arithmetic/accounting,"Winograd, sparse compiler, raw-BLAS agents","Persistent multiplication, CSR, local versus subprocess accounting",Persistent dense/Winograd remains best; accounting bypass invalid.,"A17–A18, A22"
Compiler classification refinements,"Count-based, energy-based, probabilistic certification, shrinkage, risk penalties, and adaptive rule-selection agents",All target the same stable-on/off/kink suffix structure,"Count, energy, certification, shrinkage and adaptive suffix classifiers are closed as estimator changes. Preserve only implementation primitives that improve measured complete subprocess cost.","A24–A33,A39,A42–A47"
Quadratic control follow-up,Quadratic-control and compiler agents,"Development and first holdout appeared strong, then a genuinely fresh frozen test reversed",Treat V60/V61 as selection leakage and close using V65.,V60–V65
Analytic/control nullspaces,"Hermite, Stein, signed-neural, Poisson and projected-ReLU agents","Low-degree exact controls, adaptive tuning inside exactness classes, genuine high-degree analytic controls and nonlinear projected dictionaries","T36 closes every uniformly annihilated family even under adaptive global tuning. Named low-degree/one-layer classes are exact no-ops; M156/M157 close two richer tested families, not all high-degree or nonlinear controls.","T25,M79,V67,T36,M156,M157"
Residual-surrogate evaluation,Agent 1/2 infrastructure and later closure/K3 proposals,Earlier reports often judged g as a standalone estimator,"A34 now defines the canonical test: E[g]+Q_K(f-g), with oracle versus deployable anchor separated.","A34, M81, M82"
Conditional and multilevel integration,"Preintegration, penultimate conditioning, and MLMC agents",All try to spend exact computation selectively while integrating a cheap approximation elsewhere,Exact line integration has real headroom but impossible cost; penultimate conditioning and MLMC failed statistically.,V68–V70
First-layer transport follow-up,"Transport, QCV, Hermite, debiasing, and layer-origin attribution agents","two1/two2, quadratic stacking, subset debiasing, and causal channel attribution",The original average gain did not remain robust: later cross-fitted attribution found only 1.052x with harmful networks. Treat the branch as superseded.,"V62, V65, V66, V73"
Sparse layer-31 and phase,"Agents1–6; T4, companions, partial-MUB, reopened rescoring and signed probes","Absolute center, downstream replay, selectors, rotations, safety, external probes and learned phase","Real signed signal and large per-network oracle capacity exist, but M153/M155/M158 show tested runtime observables fail stable phase or tails. M146 numerical threshold is quarantined. Keep only a narrow new-information reopening gate.","V74,M87–M147,M153,M155,M158,T28,T33"
Network-specific coresets,"Coreset agents, fixed-library, set-sketch, early-Gramian and joint-codebook campaigns","Exact K2, row/edge scores, 128-support portfolio, final-coordinate sketches, learned rankers and early Gramians","The terminal C67 campaign closed Path5: oracle libraries cover all cases, but selectors and bounded weights fail. No campaign remains in progress.",C61–C67
Equivariant center learning,"Agent4, direct residual, phase-identifiability and scale-learning agents","Invariant summaries, path sketches, DeepSets/DWS, coefficient residuals, benefit and OOD gates",Standalone absolute center/phase learning is closed across large corpora. Learning may return only as a tiny bounded residual or gate around an independently successful anchor.,"M75–M77,M91–M92,M117–M124"
Evidence governance,Agent7/9/10/11 and canonical maintenance,"Source rows, split provenance, claim status, manifest semantics and artifact release","The master claim register and quarantine are canonical: M152 removed, M146 provisional, M76/M145 numeric claims downgraded, T22 one-sided, v5.1 release semantics fixed.","A37,T31,G01"
Structured independent phase,"Companion, partial-MUB, signed-pair and reopened-path campaigns","Independent supports, downstream rescoring, outside-Kerdock signed directions and transfer","Independent direction capacity is real, but archived anchors are tail-unsafe and global signed coefficients fail catastrophically. Tested phase classes are closed; only analytic/new-observable phase remains open.","M119–M137,M155,M158,A45"
Estimator-class and proof synthesis,"Cascade hostile audit, Stronger Claims and coordinator closure","Static linear boundaries, nonlinear counterexamples, information value, finite-width transfer and residual-kernel methods",Use a two-boundary theory. Static geometry is tightly certified in named classes; adaptive value is class-specific. The universal Gaussian observability/no-adaptation thesis is invalid for post-ReLU outputs.,T29–T37
Post-v23 static inertia continuation,MathContinuation v23 and prior signed-floor/realizability agents,"Actual atomic positive index, unrestricted total mass and negative-atom count on the same146-profile/order320 certificate family",T74 supersedes T57 numerically; T75 closes total mass; T78 confines near-boundary rules to sparse negativity. Further static progress needs spherical evaluation-variety constraints.,"T57-T64,T74,T75,T78"
Checkpoint replay and finite-width synthesis,"BestPath v23, MathContinuation v23 and post-v21 replay/transfer agents","Scalar contractions, affine/last-layer replay, Gaussian crossing, independent suffix propagation and finite-width spectral transfer",T70-T73 define the competition program; T77 helps only under replayability/independence; T76 is the valid width256 proof program. Source-local IDs are remapped canonically.,T65-T77
Adaptive direct-output source and checkpoint gauges,Agent8 source; Agent4 sole-path; v27 priority continuation; Agent2 theorem,"Source construction, signed feature learning, selected/dense/late/all-layer checkpoint programs and structured ONB sampling","Source capacity is canonical, but the complete tested linear unbiased independent-block estimator class is closed. Preserve only nonlinear late-innovation identity/lower-bound work.","M173,M174,M179,T82,T86,T87"
Analytic pair closure and moment transport,"Edgeworth, learned pair map, transported-cumulant, continuation and current closure audits","Oracle pair maps, sampled moments, low-rank covariance, downstream learning, recursive rollout, calibration and delayed closure",Dense pair sufficiency is established; finite-pilot acquisition and tested rollouts fail. The open program is analytic compressed mixed-cumulant recurrence plus a realizable joint state.,"M27-M47,M60,M65-M70,M165-M167,M182-M186"
Finite-width static proof continuation,Agent2 moment dual; Prompt2 tensor-degree continuation; infinite-width static theorem agents,"Chaos positivity, tensor-degree Markov chain, degree28 lower kernel and degree62 frontier",T88 is a major actual-width theorem but not competition closure. Continue degree62 separately; no estimator implication.,"T76,T88"
