Split / IDs,Environment,Known uses,Contamination status,Allowed future use,Notes
Global IDs 0–119,Local/sandbox generated,Learned-anchor training and other development,Exposed,Training/development only,Never use for validation or holdout.
Global IDs 120–159,Local/sandbox generated,Learned-anchor selection/calibration,Exposed,Development only,Selection set.
Global IDs 160–167,Local full-width,M85 selection; adjoint factorized handoff; later learned-model test overlap,Explicitly reused,Development/historical only,Cannot support fresh holdout claims.
Global IDs 168–175,Local full-width,M85 holdout; exact harmonic q8 holdout,Explicitly reused,Historical comparison only,No longer untouched.
Global IDs 176–199,Generated networks,Learned-model test block,Exposed,Historical only,Treat entire0–199 as contaminated.
Hash-derived residual screen,Local split manifest,8-network screen,Exposed,Development only,Exact IDs remain in manifest.
Hash-derived residual validation,Local split manifest,24-network residual/activation validation,Exposed after use,Historical frozen validation only,Do not retune and relabel.
Hash-derived residual holdout,Local split manifest,64-network V73 oracle attribution,Opened for oracle mechanism,Oracle history only,Not deployable confirmation.
Activation-region reserved64,Sandbox high-precision block,Not opened after24 failed,Potentially untouched for that branch,Use only after central overlap audit,Must compare IDs with all global/hash manifests.
Coreset seeds44000–44019,Sandbox synthetic exact geometry,C62 K2 diagnostic,Exposed synthetic,Coreset development only,Not official or protected.
Partial-MUB screen seeds,Sandbox width256,V76 N=8 fresh screen; exact seeds in FRESH_SCREEN_SUMMARY,Exposed screen,Development only,Validation and holdout in that package remained unopened.
Equivariant width32/64 corpora,Sandbox synthetic,M97–M103 training/calibration/validation and rotations,Exposed reduced-width,Reduced-width development only,Cannot support width256 claims.
Compiler N=50/N=60 suites,Local full-width,Fixed3/adaptive compiler development and frozen comparisons,Used; exact IDs must be imported,Historical compiler evidence,"Before any composition claim, verify overlap with new statistical blocks."
Sparse radial validation IDs 1000–1023,Sandbox synthetic width256,M109/M110 frozen direct-output exact-anchor validation and component ablation,Exposed after frozen validation,Development/oracle-history only,Terminal result used independent anchor/evaluation streams and two reference halves. Same-stream preliminary result quarantined.
Future immutable block B,To create locally,Sparse/source/micro-cubature final holdout,Unopened,64+ width256 holdout,Never use for training or tuning.
Future learning corpus/test,Local public width256 + grouped rotations,Bounded edge-DWS,To create with base-network grouping,Grouped CV + separate untouched test,All rotations from one base remain in same fold.
Future immutable block C,To create locally or in matched sandbox,Legal lower-order anchor estimator validation,Unopened,24+ fresh width256 validation,"Freeze the 128-scalar contract, estimator, compute accounting, shrinkage and fallback before generation/opening."
Radial31 continuation networks32–47,Sandbox synthetic width256,M111 frozen alpha0.40 continuation and high-reference tail diagnostics,Exposed,Historical development only,Network41 remains a stable harmful tail; do not reuse for fresh confidence claims.
Independent layer31 residual uniform24,Sandbox synthetic width256,M112/M113 uniform independent target/anchor experiment and rotation audit,Exposed; exact IDs in report manifest,Oracle-history and model training only,Two earlier invalid analyses were rejected; only the final uniform protocol is canonical.
Path2 immutable scale holdout:12 bases × rotations3/11/97,Sandbox width256 high-reference,M115 exact-K32 fixed/bounded scaling and learned-scale terminal,Locked test now opened; exposed for future training only,Historical mechanism/test only,"Exact panel is12 groups×3 rotations. Dedicated audit also used a separate16-group×3 legal scalar panel; 28 distinct groups total, not the requested single32-group cohort."
K32 phase audit:112 bases /272 rotations,Sandbox width256,M117 grouped rotation-deviation versus absolute-offset study,Exposed,Training/mechanism only,Rotation differences learnable; absolute offset unresolved.
K32 basis-covariance terminal N=50,Sandbox width256 production rotation,M118 frozen adjoint covariance terminal,Exposed terminal,Historical only,Do not retune neighboring phase features on this block.
Direct32 companion validation N=24,Sandbox width256 high-reference,M119 full companion prospective validation; M120 compression frontier,Exposed; M120 selection used labels,Mechanism/history only,M120 requires a new immutable block.
